Mr. Speaker|| amendment, reserve, program
Mr. Speaker|| behalf, motion, bill
Mr. President|| senator, amendment, funding
Mr. President|| review, national, panel
Mr. Speaker|| washington, federal, department
<|endoftext|>|| administration, taxpayer, recognizing
Mr. President|| answer, illegal, president
Mr. Speaker|| louisiana, shortfall, republican
Mr. Speaker|| vote, absent, rollcall
Mr. President|| enter, consumer, bill
Mr. Speaker|| speaker, pro, bill
Mr. Chairman|| american, trip, promise
Mr. President|| amendment, nursing, year
Mr. President|| medical, small, house
Mr. President|| balanced, defense, situation
Mr. Speaker|| economy, house, seventh
Madam Speaker|| red, united, pressure
Mr. President|| manner, senate, objection
Madam Chairman|| leadership, bad, texas
<|endoftext|>|| suggestions, pass, act
Mr. Speaker|| claim, permission, request
Mr. Speaker|| speaker, discomfort, recess
<|endoftext|>|| courts, owners, constitution
<|endoftext|>|| intended, purpose, hartzler
Mr. President|| senator, capacity, state
Madam Chair|| chair, day, gas
Mr. Speaker|| scheduled, majority, failing
Madam President|| employees, president, colleague
Mr. Chairman|| limit, constitution, district
Mr. Speaker|| legislation, navy, capitol
Mr. President|| federal, provide, university
Mr. Chairman|| report, true, support
Mr. President|| desiree, bipartisan, pointed
Mr. President|| yield, president, senators
Mr. President|| pro, colleague, amendment
Mr. President|| amendment, senators, time
<|endoftext|>|| glad, happen, correct
<|endoftext|>|| remember, invite, language
Mr. Chairman|| american, development, jobs
Mr. Speaker|| abuse, opioid, prescription
Mr. President|| senate, dirksen, subcommittee
Mr. Speaker|| clause, journal, speaker
<|endoftext|>|| keeping, continuity, flu
<|endoftext|>|| adopt, back, senator
Mr. President|| air, senator, remove
Mr. Speaker|| voices, indiana, testimony
Mr. Chairman|| nebraska, chairman, asia
Mr. Speaker|| speakers, representative, requests
<|endoftext|>|| remain, acting, order
Mr. President|| designates, detroit, senate
<|endoftext|>|| urge, economy, million
Mr. Speaker|| year, country, brave
Mr. Chairman|| amendment, choice, job
<|endoftext|>|| house, damage, address
Mr. Speaker|| reversionary, line, city
Mr. President|| university, congratulate, uvm
Mr. President|| resolution, ago, approving
Mr. President|| waters, states, facilities
<|endoftext|>|| thought, objection, recognized
Mr. Speaker|| package, committee, speaker
Mr. Speaker|| additional, banks, bill
Mr. Speaker|| today, urge, stop
Madam President|| role, jersey, economic
Mr. Speaker|| engrossed, previous, reading
Madam President|| advisory, drug, portland
Mr. Speaker|| territories, states, behooves
Mr. President|| south, sam, columbia
Mr. Speaker|| congress, security, committee
<|endoftext|>|| point, absolutely, economy
Mr. President|| competitiveness, growth, morning
Mr. Chief Justice|| leader, chief, 6:45
Mr. Chairman|| mexico, ranchers, congressman
Mr. Speaker|| ocean, percent, nations
<|endoftext|>|| community, agencies, formula
Mr. President|| troops, government, force
Mr. Speaker|| year, speaker, california
Mr. President|| wednesday, bill, public
Madam Speaker|| time, speaker, criminal
Mr. President|| president, bennet, ensure
Mr. President|| reagan, support, honor
Mr. Chairman|| chairman, chair, point
Mr. President. I rise today to pay special tribute to America's pre-eminent|| steinway, american, generations
Mr. Speaker|| back, battles, cut
Madam Speaker|| southern, gentlewoman, humanitarian
Mr. Speaker|| speaker, texas, gentleman
Mr. Speaker|| recognize, rank, south
<|endoftext|>|| considered, urge, opposing
Mr. Speaker|| speaker, powerful, today
Mr. Speaker|| yield, party, majority
Mr. Speaker|| texas, compact, vermont
<|endoftext|>|| chairman, number, specifically
Mr. President|| proceeded, objection, resolutions
Madam President|| million, february, percent
<|endoftext|>|| made, federal, vacancies
Mr. President|| reassembled, parliament, president
<|endoftext|>|| ego, act, words
Mr. Speaker|| protect, shut, social
Mr. President|| open, unanimous, committee
<|endoftext|>|| abuse, federal, repeals
Mr. President|| finance, stephen, generalized
<|endoftext|>|| authority, line-item, virginia
Mr. Speaker|| leadership, incredible, rebuilding
Mr. President|| two-thirds, precedent, clear
Mr. Speaker|| fact, billion, budget
Mr. Speaker|| taxes, freedom, american
Mr. Chairman|| support, chairman, families
Mr. Speaker|| speaker, continue, economy
<|endoftext|>|| working, support, income
Mr. President|| president, representatives, secretary
Mr. President|| money, million, lot
<|endoftext|>|| budget, oklahoma, waiver
<|endoftext|>|| mergers, billion, merger
Mr. President|| dirksen, month, room
<|endoftext|>|| extensive, today, average
Mr. President|| national, foundation, technology
Mr. Speaker|| congress, backup, district
Mr. President|| unanimous, small, increasing
Mr. Speaker|| security, industry, production
<|endoftext|>|| price, real, american
<|endoftext|>|| van, democratic, job
Mr. President|| education, question, health
<|endoftext|>|| noted, responsible, technology
Mr. President|| work, state, communities
<|endoftext|>|| virtually, uranium, evidence
Mr. President|| debate, 12:30, 11:15
<|endoftext|>|| expects, introduce, time
<|endoftext|>|| made, crazy, knowingly
<|endoftext|>|| united, controls, states
Mr. President|| past, national, passed
Mr. President|| health, dakota, percent
Madam Speaker|| area, hard-liners, agreement
<|endoftext|>|| income, mccotter, time
Mr. President|| washington, dirksen, parks
Mr. Speaker|| record, additional, parks
Madam Speaker|| obama, guardrails, castro
Mr. Speaker|| point, texas, response
<|endoftext|>|| referred, question, gun
Mr. Speaker|| bill, school, states
Mr. President|| natural, falls, southern
Mr. Speaker|| objection, include, legislative
Madam Speaker|| potential, challenges, million
Mr. President|| senate, yield, morning
Mr. Speaker|| res, offered, tempore
Mr. Speaker|| clinic, texas, care
<|endoftext|>|| place, amendment, resources
<|endoftext|>|| house, esa, endangered
Mr. President|| friday, native, affairs
Mr. Speaker|| economic, judiciary, committee
<|endoftext|>|| interrupt, bills, bill
<|endoftext|>|| effort, hard, dollars
Mr. President|| office, president, building
<|endoftext|>|| speaker, department, afl-cio
Mr. Speaker|| pro, extend, revise
Mr. Speaker|| years, deficit, jobs
Mr. Speaker|| written, gentleman, speaker
Mr. President|| preamble, president, laid
Mr. President|| states, treaty, base
<|endoftext|>|| ethics, florida, kindergarten
Mr. Chairman|| wisconsin, texas, obey
<|endoftext|>|| abortion, good, abortions
Mr. Speaker|| clinton, debate, cooper
Mr. Speaker|| lost, house, moran
Mr. Speaker|| aviation, years, faa
Mr. President|| assume, desires, assuming
<|endoftext|>|| kind, forward, amendments
Mr. Chairman|| rise, contract, law
Mr. Speaker|| school, public, schools
<|endoftext|>|| firestone, colleague, department
Mr. Chair|| kumbaya, leadership, jobs
Mr. President|| swimmer, office, hearing
Madam Speaker|| today, affairs, good
Mr. Speaker|| law, days, site
Mr. Speaker|| entrances, acts, clinics
Mr. President|| born, premature, weeks
Mr. President|| president, community, americans
Mr. Speaker|| wisconsin, bipartisan, free
Madam President|| acknowledge, daylight, worked
Mr. Speaker|| tempore, gentleman, back
Madam Speaker|| july, cost, president
Mr. Speaker|| years, congress, children
<|endoftext|>|| delaware, judicial, distinguished
Mr. President|| informed, arguments, argument
Mr. President|| day, bill, started
<|endoftext|>|| bill, consent, tempore
Mr. Speaker|| speaker, american, political
Mr. Speaker|| regime, amendment, international
Mr. President|| trillion, foreign, good
Mr. President|| previous, senate, monday
<|endoftext|>|| mrs., absent, announce
Mr. President|| order, previous, consent
Mr. Speaker|| hurricane, evacuees, parish
Mr. Speaker|| mrs., join, high
Mr. Speaker|| face, reduce, eliminating
<|endoftext|>|| guzman, danny, recklessness
Mr. Chairman|| difficult, united, people
<|endoftext|>|| working, minority, financial
Madam Chair|| fools, homeland, political
Madam Chairman|| mica, resources, years
Mr. Speaker|| bill, ugly, women
Mr. Speaker|| offer, indiana, muncie
Madam President|| gas, drilling, solutions
<|endoftext|>|| act, state, day
Mr. President|| washington, apparatus, delivery
Mr. President|| years, island, state
Mr. President|| citizens, society, event
Mr. President|| comment, recess, talk
Mr. President|| act, president, legislation
<|endoftext|>|| material, california, include
Mr. Speaker|| plan, year, budget
Madam Chairman|| care, venue, madam
Mr. President|| senator, sexual, withdrawn
Mr. President|| withdraw, include, consultation
Mr. Speaker|| injury, consume, forward
Mr. Speaker|| tempore, rule, june
Madam Speaker|| speaker, empire, president
Mr. President|| store, president, crimes
Mr. President|| story, heart, resolution
Mr. Chairman|| carolina, epa, omaha
Mr. President|| king, billy, millions
Mr. Speaker|| people, government, issue
Mr. Speaker|| offer, months, congress
Madam President|| provisions, today, form
Mr. Chairman|| amendment, member, president
<|endoftext|>|| spending, homeland, president
Mr. Speaker|| incredible, great, creating
Mr. Chairman|| hefley, amendment, chairman
Mr. President|| sides, consistent, technical
Mr. Speaker|| maneuver, massachusetts, tax
Mr. President|| considered, amended, unanimous
Mr. President|| federal, taxes, america
Mr. Speaker|| committee, object, house
Mr. President|| president, novarum, chicago
Mr. Speaker|| consume, danny, november
Mr. President|| unanimous, statements, joint
Mr. Speaker|| irs, disabled, debt
<|endoftext|>|| dealing, anticompetitive, bill
<|endoftext|>|| years, virginia, house
Mr. President|| percent, american, provisions
<|endoftext|>|| goss, object, amendment
Madam President|| anne, state, mckinney
Mr. President|| order, support, closed
Madam President|| senate, defense, start
Mr. Speaker|| visa, speaker, border
Madam Speaker|| senate, authorities, combat
<|endoftext|>|| eagerness, egypt, world
Mr. Speaker|| medal, congressman, unit
<|endoftext|>|| time, run, suggest
<|endoftext|>|| determine, amendment, impact
Mr. President|| states, mutilated, basis
Mr. President|| americans, provide, seniors
Mr. President|| citizens, working, cops
Mr. President|| tourism, bill, senate
Mr. President|| adjournment, 6:52, senate
Mr. Chair|| country, strong, chair
<|endoftext|>|| homes, katrina, states
Mr. Speaker|| gonave, administration, refugees
Mr. President|| appropriations, subcommittee, colleague
Mr. President|| room, thursday, dirksen
Madam Speaker|| commend, understand, castor
<|endoftext|>|| tax, promotes, speaker
Mr. Speaker|| congress, speaker, food
Mr. Speaker|| speaker, technical, education
Mr. Chairman|| world, industry, consumers
Mr. Chairman|| limitation, chairman, time
Mr. Speaker|| access, eligible, page
<|endoftext|>|| bill, relation, prior
Mr. Speaker|| york, tempore, speaker
Mr. Chairman|| american, art, community
Mr. Chairman|| warheads, chairman, signal
Mr. Speaker|| support, faster, act
<|endoftext|>|| oregon, benefits, designed
<|endoftext|>|| lost, broad, reached
Mr. Speaker|| rider, program, waters
<|endoftext|>|| review, normal, general
Mr. Chairman|| gentleman, bill, objecting
Mr. Chairman|| claim, security, year
Mr. President|| plan, analysis, cbo
Mr. Speaker|| annette, bill, yield
Mr. Speaker|| find, abuse, today
Mr. Chairman|| safety, millions, act
Mr. President|| today, arkansas, places
Mr. Chairman|| states, hemophilia, average
<|endoftext|>|| people, funds, bills
Mr. Speaker|| march, pentagon, violence
Mr. President|| father, rise, storytelling
<|endoftext|>|| liability, wisconsin, product
Mr. Speaker|| small, tuesday, financial
Mr. Chairman|| work, uniform, gentleman
Madam Speaker|| iran, committee, democrats
<|endoftext|>|| issue, order, fair
<|endoftext|>|| issue, country, republican
Mr. Speaker|| americans, deserve, rule
Mr. Speaker|| senate, yielding, april
Mr. Speaker|| increase, report, detained
Mr. Speaker|| america, important, care
Mr. Speaker|| speaker, rangel, speak
<|endoftext|>|| sort, military, field
<|endoftext|>|| federal, record, speaker
Mr. Speaker|| california, minute, limit
Mr. President|| afternoon, president, great
Mr. Chairman|| oversight, justice, binding
<|endoftext|>|| nations, nuclear, republican
Madam Speaker|| yield, debate, house
Mr. President|| worked, bipartisan, agriculture
<|endoftext|>|| laid, proceed, amendment
Mr. President|| act, county, river
Mr. Speaker|| johnson, gentleman, hope
<|endoftext|>|| force, session, people
Madam Speaker|| los, enforcement, angeles
Mr. President|| worthy, senator, john
Madam President|| critical, system, air
Mr. Speaker|| congress, days, showed
Mr. Speaker|| gentleman, request, adjourn
<|endoftext|>|| advised, chair, rules
<|endoftext|>|| commerce, party, opic
<|endoftext|>|| holding, businesses, startup
Mr. President|| agreement, senator, debate
Mr. Speaker|| legislation, urge, colleagues
Mr. Speaker|| gentlewoman, nation, american
Mr. President|| leaders, completes, approved
Mr. President|| north, pleased, korea
<|endoftext|>|| nato, russian, give
Madam President|| love, women, man
Mr. Speaker|| deeper, provisions, rule
<|endoftext|>|| retains, amendment, terminate
Mr. President|| rise, detroit, acknowledge
Mr. President|| court, anxious, constitutional
<|endoftext|>|| heard, supporting, michigan
Mr. President|| year, million, education
<|endoftext|>|| due, senator, good
Mr. President|| thing, agreement, pass
Mr. Speaker|| lenders, build, organizations
Mr. Speaker|| note, american, fought
Mr. President|| offered, amendment, distinguished
Mr. Speaker|| legislation, district, water
Mr. Chairman|| find, undermines, rule
Mr. Speaker|| pro, florida, objection
Mr. Speaker|| terrorist, engle, york
<|endoftext|>|| vote, intend, forward
Mr. President|| appropriations, confirm, president
Madam President|| recognition, vermont, looked
Mr. Speaker|| free, voting, people
Mr. President|| powell, marine, colonel
<|endoftext|>|| correct, absolutely, americans
<|endoftext|>|| privileged, change, warm
Madam Speaker|| madam, speaker, dole
Mr. President|| free, people, time
Mr. President|| subcommittee, session, national
Madam Chairman|| disease, production, mandatory
Mr. Speaker|| aisle, speaker, issues
Mr. Speaker|| evening, offers, gentleman
<|endoftext|>|| jurisdictions, collect, small
<|endoftext|>|| people, bill, read
Mr. Speaker|| speaker, schumer, celebrating
Madam Speaker|| milwaukee, industry, year
Mr. Speaker|| process, fact, bad
Mr. President|| yield, issue, breaux
<|endoftext|>|| important, country, business
Mr. Speaker|| colleague, senior, cuts
Madam President|| months, dakota, hard
Mr. President|| president, people, week
<|endoftext|>|| put, expand, opportunity
Mr. Speaker|| tired, health, americans
Mr. Speaker|| fred, leadership, reverend
Mr. President|| money, life, team
Mr. Speaker|| house, o'clock, minutes
Madam Speaker|| israel, block, iran
Mr. Chairman|| waste, chairman, activities
Mr. President|| estimates, national, anwr
<|endoftext|>|| helpful, bill, florida
Madam Speaker|| agreement, economy, community
Mr. Speaker|| consideration, closed, house
<|endoftext|>|| powers, cases, supreme
Mr. Chairman|| owners, full, choose
<|endoftext|>|| force, action, budget
Mr. Speaker|| tonight, bit, davis
Madam Speaker|| taxes, share, republicans
Mr. President|| ethanol, renewable, fuel
Mr. Chairman|| expand, good, urge
Mr. Speaker|| medical, change, preexisting
Mr. Speaker|| enforcement, police, speaker
Madam Speaker|| election, today, jobs
Mr. President|| spending, care, health
Madam Speaker|| house, time, bill
Mr. President|| foreign, president, eisenhower
Mr. President|| information, 2:15, additional
Mr. Speaker|| equally, natural, bill
Mr. President|| collect, expensive, small
Mr. President|| hampshire, lives, president
Mr. President|| constitution, important, deficits
<|endoftext|>|| goldberg, size, trip
Mr. Speaker|| judges, living, support
Mr. Speaker|| days, revise, speaker
Madam Speaker|| percent, americans, madam
Mr. Speaker|| gallon, tax, speaker
<|endoftext|>|| states, welfare, job
<|endoftext|>|| chairman, additional, expired
Mr. Speaker|| violence, communities, las
Mr. President|| objection, previous, 5:10
Mr. Chairman|| authority, chairman, supreme
Mr. Speaker|| attorney, arizonans, member
Mr. Chairman|| mcintosh, gentleman, follow
<|endoftext|>|| respected, derivatives, problem
Mr. President|| yesterday, leadership, force
Mr. Speaker|| speaker, legislation, fields
Mr. Speaker|| million, committee, house
Mr. President|| shoal, engineering, center
Mr. President|| ncaa, vermont, mike
Mr. Polis|| add, cleaning, insight
Mr. President|| seniors, federal, patients
Mr. Chairman|| communities, fisheries, represent
Mr. President|| louisiana, characterization, department
Madam President|| cap, programs, sense
Mr. Chairman|| order, pursuant, clause
Mr. President|| make, world, work
Mr. Speaker|| address, gentleman, point
Mr. Chairman|| word, leadership, question
Madam President|| house, read, amended
Mr. President|| work, president, program
Mr. President|| americans, veterans, nation
Madam Speaker|| bill, supporting, speaker
Mr. Speaker|| states, israeli, issue
Mr. President|| americans, turkey, rise
Mr. President|| majority, year, president
Madam President|| sound, majority, distinguished
Madam Speaker|| illinois, henry, international
<|endoftext|>|| omnibus, time, children
Mr. President|| speak, tomorrow, hagel
Mr. President|| president, making, society
Mr. Chief Justice|| romney, july, hold
Mr. Speaker|| president, respect, future
Madam President|| program, senator, programs
Mr. Speaker|| american, house, act
Mr. President|| america, state, domiciliary
Mr. Chairman|| napolitano, committee, pointed
Mr. Speaker|| jay, speaker, members
Mr. Speaker|| afford, today, american
Mr. Chairman|| bombing, oklahoma, rise
<|endoftext|>|| pro, john, judges
<|endoftext|>|| competition, scared, extent
<|endoftext|>|| pro, speaker, object
Mr. Chair|| united, congress, yield
Mr. Speaker|| called, heard, taxes
Mr. Chairman|| existing, prepared, claim
Mr. Speaker|| veterans, nation, support
Mr. Speaker|| compliance, industries, air
<|endoftext|>|| issue, authority, act
Mr. Chairman|| amendment, business, bill
Mr. Speaker|| bureau, reclamation, agree
Mr. President|| speak, mexican, broken
Mr. President|| commitment, prostate, female
<|endoftext|>|| border, poor, intent
Mr. Chairman|| revert, substitute, withdraws
Mr. President|| mid-atlantic, devastating, resilient
Mr. President|| united, military, country
<|endoftext|>|| grant, holds, management
Mr. Speaker|| office, years, congress
<|endoftext|>|| served, demonstrated, life
Mr. Speaker|| historic, commemorate, victors
Mr. President|| largest, nations, organizations
Madam Chairman|| talk, colleague, local
Mr. Speaker|| president, protect, energy
Mr. Speaker|| public, review, planning
Mr. President|| volunteers, president, billion
Mr. President|| request, amendment, behalf
<|endoftext|>|| business, american, chairman
Mr. Speaker|| speaker, bills, distinguished
Mr. President|| suggest, back, body
<|endoftext|>|| frankly, peace, fashion
