Madam Speaker|| tim, food, public
Mr. President|| governors, states, system
Madam President|| house, letter, president
Mr. Chairman|| support, department, issue
Mr. Speaker|| exemplary, rise, high
Madam Chairman|| word, bill, madam
Mr. Speaker|| close, gentleman, time
<|endoftext|>|| alaska, hunters, good
Mr. President|| bill, members, alternative
<|endoftext|>|| advised, authority, direction
<|endoftext|>|| mitchell, consumers, senator
Mr. Speaker|| paul, university, senate
Mr. President|| civilian, permanent, federal
Mr. President|| consent, objection, permitted
Madam Speaker|| congress, full, act
Mr. President|| daily, president, day
<|endoftext|>|| member, roads, nepa
<|endoftext|>|| qualified, blueprints, pick
Mr. Speaker|| tomorrow, motion, minutes
<|endoftext|>|| clear, speaker, rural
Mr. Chairman|| good, doctor, amendment
<|endoftext|>|| common, taxes, gas
Mr. Chairman|| reform, corpus, habeas
Mr. Chairman|| friend, reduced, frankly
Mr. President|| period, short, consent
Mr. President|| grenier, act, national
Mr. President|| talking, price, drugs
Mr. Chairman|| million, retirement, yielding
Mr. Chairman|| natural, industry, china
<|endoftext|>|| farm, south, center
<|endoftext|>|| chairman, fiscal, concern
Mr. Speaker|| communities, mayors, speaker
Mr. Speaker|| investigation, provisional, inspector
Madam President|| back, week, butte
Mr. Speaker|| united, crimes, holocaust
Mr. Speaker|| states, representatives, official
Mr. Chairman|| legislation, unfunded, governments
Madam Speaker|| rise, diabetes, published
<|endoftext|>|| program, thought, question
Madam President|| percent, benefit, unfair
Mr. Speaker|| made, responsibility, iranian
Mr. President|| committees, authorized, conduct
Mr. President|| res, consideration, proceed
Mr. Speaker|| work, completed, access
<|endoftext|>|| reforms, house, committee
Mr. Speaker|| iraq, vietnamese, american
<|endoftext|>|| long, senate, cost
<|endoftext|>|| state, funding, colleagues
Mr. Speaker|| congress, countries, program
Mr. Chairman|| ended, california, roll
<|endoftext|>|| couple, friday, tonight
Mr. President|| ill, procedure, measures
<|endoftext|>|| health, make, plan
Mr. President|| public, narfe, today
Mr. Speaker|| agriculture, speaker, rollcall
Mr. President|| natural, trading, senate
<|endoftext|>|| contract, guard, extends
Mr. Speaker|| act, care, madam
Mr. Speaker|| msa, freedom, medical
Mr. President|| als, embryonic, human
<|endoftext|>|| fine, amendment, tomorrow
Mr. Speaker|| face, committee, lewis
Mr. President|| raised, april, bolton
Mr. Chairman|| pennsylvania, support, words
Mr. Speaker|| team, speaker, bock
Mr. President|| sandy, administration, american
Mr. President|| legislation, act, public
<|endoftext|>|| body, prove, back
<|endoftext|>|| hope, multiple, legislation
Mr. Speaker|| floor, hour, house
Mr. Speaker|| pleased, yield, members
Mr. Chairman|| health, coalition, fiscal
<|endoftext|>|| labor, buying, capitalism
Mr. President|| energy, pasternack, management
Madam President|| american, public, bill
Mr. President|| san, isaac, police
Mr. President|| day, young, women
Madam Speaker|| west, united, turks
Mr. Speaker|| order, house, ruling
Mr. President|| president, budget, accepted
Mr. President|| marks, state, president
<|endoftext|>|| states, broadly, united
Mr. Speaker|| cypriot, cypriots, speaker
<|endoftext|>|| question, experience, businessman
Mr. Chairman|| washington, chairman, united
Mr. Chairman|| individual, wetlands, federal
Mr. Chairman|| proposed, million, gentleman
Mr. President|| president, lou, deal
Mr. Speaker|| motion, minutes, adjourned
Mr. Chairman|| spending, penalize, people
Madam President|| prevail, ohio, senator
Madam Speaker|| speaker, passage, aye
Mr. Speaker|| house, consent, checks
<|endoftext|>|| house, offered, pro
Mr. Chairman|| question, yield, time
Mr. President|| senate, complete, president
Mr. Chairman|| project, legislation, base
Mr. Speaker|| bois, speaker, experiences
<|endoftext|>|| democrats, future, felt
Madam Speaker|| impact, months, security
Mr. President|| minutes, leader, unanimous
Mr. Speaker|| federal, speaker, california
Mr. President|| foundation, people, insert
Mr. President|| substitute, offer, added
Madam Speaker|| nixon, essential, feel
Mr. President|| remains, iraq, age
Mr. President|| presiding, minutes, president
Mr. President|| country, care, give
Mr. President|| case, kentucky, kind
Mr. President|| motion, considered, relating
Mr. Speaker|| george, history, national
Mr. Chairman|| gentleman, project, funding
<|endoftext|>|| bill, colleagues, creates
Mr. President|| poll, guns, person
Mr. President|| important, year, business
Mr. Chairman|| relatives, chairman, chain
Mr. Speaker|| gridlock, washington, federal
Mr. Speaker|| service, proficiency, public
Mr. Speaker|| responders, special, maloney
Mr. Speaker|| request, objection, samoa
Mr. President|| colleague, money, medicare
Mr. Speaker|| medicare, cross, yeltsin
Mr. President|| amendment, loans, department
Mr. Speaker|| represent, subcommittee, distance
<|endoftext|>|| fein, times, connecticut
Mr. President|| foreign, hearing, nato
<|endoftext|>|| alaska, lee, tennessee
<|endoftext|>|| year, award, speaker
<|endoftext|>|| balanced, states, start
<|endoftext|>|| add, gentleman, floor
Mr. Chairman|| interest, colorado, law
Mr. Speaker|| b'nai, school, joel
<|endoftext|>|| pregnant, offered, insurance
Madam Speaker|| service, madam, memorial
Madam Speaker|| adopted, care, american
Mr. Speaker|| year, jersey, practices
Mr. Speaker|| amendments, rule, committee
Mr. Chairman|| back, simply, people
Mr. Chairman|| telecommunications, country, bill
Mr. President|| states, program, student
Mr. President|| david, taylor, members
Mr. President|| nation, yearly, freedom
Mr. Speaker|| announcement, rule, question
Madam Speaker|| make, member, signal
Mr. President|| president, britain, time
<|endoftext|>|| vigil, good, friend
Mr. President|| sweeney, president, court
<|endoftext|>|| yield, court, authority
Madam Speaker|| overturn, communities, community
Mr. Speaker|| american, secretary, people
Mr. Chairman|| assessment, obligations, request
<|endoftext|>|| service, mill, tongass
<|endoftext|>|| announce, alabama, voting
Mr. Speaker|| living, november, disease
<|endoftext|>|| yielding, gentleman, amendment
<|endoftext|>|| senator, vote, understand
Mr. Speaker|| speaker, forest, public
Mr. President|| agreement, important, hamdan
Mr. Speaker|| today, government, middle
Mr. President|| president, unanimous, driscoll
Mr. President|| armed, president, wednesday
Mr. President|| job, north, jewel
Mr. Chairman|| women, doctors, mother
<|endoftext|>|| record, dioxide, people
Mr. President|| south, schild, life
Mr. President|| prevention, act, legislation
Madam President|| cigarettes, buy, stop
Mr. President|| correct, pkk, speak
Madam Speaker|| madam, plan, iraqi
Mr. President|| conduct, announce, affairs
Mr. Speaker|| debate, amendments, members
Madam Speaker|| representation, district, democracy
Mr. President|| anniversary, civilian, congratulate
Mr. Speaker|| extensions, expiration, support
Mr. President|| restrictions, afridi, end
Mr. Speaker|| side, talk, wishes
Mr. Speaker|| taxes, american, put
<|endoftext|>|| provisions, ohio, finally
Mr. President|| driving, act, supplies
Mr. President|| judge, monday, hearing
Madam Speaker|| balance, state, states
Madam Speaker|| members, speaker, madam
<|endoftext|>|| experience, choices, make
<|endoftext|>|| senator, make, yield
Mr. President|| shareholder, cases, suit
Mr. President|| senator, democracy, grandmother
Mr. Chairman|| gentleman, allocations, pass
Mr. Speaker|| vote, authorization, troops
Madam President|| senators, moment, vote
Mr. Chairman|| introduced, amendment, choose
Mr. Speaker|| hussein, weather, high
Mr. President|| stand, world, american
Mr. Chairman|| member, reality, lenders
Mr. President|| troops, fact, senator
Mr. Speaker|| companies, good, law
Mr. President|| senior, senator, sides
Mr. Speaker|| reform, jones, speaker
Mr. President|| fiscal, appropriations, commerce
Mr. Speaker|| american, thought, small
Mr. Speaker|| commemorate, center, israel
<|endoftext|>|| pays, stimulates, prevails
<|endoftext|>|| nature, record, consent
Mr. Chairman|| offered, question, chairman
Madam Speaker|| understanding, speaker, subcommittee
Mr. Speaker|| statute, chairman, issue
Mr. President|| kennedy, crime, rise
<|endoftext|>|| time, appropriations, great
Madam President|| inc., president, willard
Mr. President|| district, committee, homeland
Mr. Speaker|| price, americans, speaker
Mr. Speaker|| speaker, controlled, patrick
Mr. Speaker|| people, gate, closing
Madam Speaker|| speak, carolina, problem
Mr. President|| senator, reform, system
Mr. Speaker|| revenues, npca, raise
<|endoftext|>|| colleagues, talking, leader
Mr. Speaker|| security, social, present
Mr. President|| jeanette, recognize, african-american
Mr. Chairman|| hyde, point, consideration
Madam President|| iraq, qarmat, service
Mr. President|| methodist, congratulate, home
Madam President|| national, voting, important
<|endoftext|>|| supplies, story, washington
Madam Speaker|| showing, north, congressman
Mr. Speaker|| simply, schedule, majority
Mr. President|| childhood, today, president
Madam Speaker|| virginia, reserve, colleague
Madam President|| jasper, grants, iowans
<|endoftext|>|| members, talk, concessions
<|endoftext|>|| personal, temperament, members
Madam Speaker|| states, powers, united
<|endoftext|>|| court, established, basically
Mr. Chairman|| fact, opposition, strong
Mr. Speaker|| congress, federal, issue
<|endoftext|>|| buttons, hand, future
Mr. Speaker|| united, victory, academic
Mr. President|| non-profit, fraternal, working
<|endoftext|>|| good, balance, safety
Madam President|| tomorrow, filling, worked
Mr. Chairman|| information, national, support
<|endoftext|>|| global, producing, issue
<|endoftext|>|| bell, class, soleil
Mr. Speaker|| royce, chairman, res
Mr. Chairman|| defense, gentleman, deploy
Mr. Chairman|| debate, request, divided
Mr. Chairman|| government, units, amendment
Mr. Chairman|| opposition, claim, chair
Mr. Speaker|| support, davis, year
Madam Speaker|| transportation, extension, airport
Mr. President|| adam, joseph, american
Madam President|| wealth, incomes, growth
Mr. President|| max, time, years
Mr. President|| enforcement, border, problems
<|endoftext|>|| kentucky, countries, farmer
Mr. President|| earlier, budget, encyclopedia
Mr. Speaker|| foundation, pledge, june
Mr. Speaker|| production, legislation, united
Mr. Speaker|| organizations, partake, today
Mr. Speaker|| tempore, consent, request
Mr. Speaker|| federal-aid, highway, fhwa
Mr. President|| peoria, pete, illinoisan
Mr. President|| meet, housing, hearing
<|endoftext|>|| senator, agreement, signed
Mr. Speaker|| speaker, time, fund
Mr. President|| submarines, john, seawolf
Mr. President|| gallon, bill, million
Mr. President|| support, year, whiz
Mr. Speaker|| iraq, deployed, support
Madam Speaker|| speaker, program, insurance
Mr. Speaker|| cooperate, level, department
Mr. Speaker|| chinese, status, speaker
<|endoftext|>|| medical, country, cost
Mr. Chairman|| support, hazards, portion
Mr. Speaker|| destination, comment, balance
<|endoftext|>|| speaker, chooses, tempore
<|endoftext|>|| york, leak, heard
Mr. President|| involving, relations, comments
Mr. Chairman|| development, caucus, study
Mr. Speaker|| citizenship, shows, people
Mr. President|| legitimate, senator, claims
<|endoftext|>|| offering, finance, aware
Mr. President|| states, make, peace
Madam Speaker|| protecting, speaker, gentleman
Mr. Speaker|| report, jersey, pursuant
Mr. President|| adults, case, rise
Mr. President|| motion, confirmed, order
Madam Speaker|| inflation, alzheimer, american
Mr. Speaker|| today, apollo, space
Mr. Speaker|| tempore, senate, speaker
Mr. Speaker|| federal, speaker, demands
<|endoftext|>|| senate, consent, rules
Madam Speaker|| caucus, invite, members
Mr. Speaker|| meet, students, homelessness
<|endoftext|>|| dealt, evil, handle
Mr. Speaker|| sex, speaker, adam
Mr. President|| leaders, designee, president
Mr. Chairman|| department, missile, book
Mr. President|| board, unanimous, authorized
Mr. President|| small, offer, plans
<|endoftext|>|| begun, work, hope
Madam Speaker|| national, time, military
<|endoftext|>|| correctly, decided, land
Mr. President|| today, journal, pledge
<|endoftext|>|| caucus, mobilize, people
Mr. Chairman|| inform, allegations, committee
<|endoftext|>|| designed, imply, clarification
Mr. Chairman|| chairman, union, security
Mr. President|| upward, hundred, helping
Mr. Speaker|| national, speaker, res
<|endoftext|>|| flake, arizona, programs
<|endoftext|>|| problems, schools, armey
Mr. Speaker|| chilean, canada, customs
<|endoftext|>|| earpieces, transmitting, prohibit
Mr. President|| government, united, president
Madam President|| years, national, join
Madam Speaker|| back, copies, electronically
<|endoftext|>|| credit, small, hensarling
<|endoftext|>|| states, bistate, senator
Mr. President|| seniors, social, legislation
Madam Chairman|| issues, planning, law
Mr. Speaker|| critical, home, depot
<|endoftext|>|| fiscal, congress, dog
Mr. Speaker|| congressman, states, ball
Mr. President|| senate, prosecute, assistance
<|endoftext|>|| energy, implement, update
Madam Speaker|| rule, object, prior
<|endoftext|>|| act, consumers, electronic
Mr. Speaker|| lives, gave, virginia
Mr. President|| advised, favor, consent
Mr. President|| journal, expired, recess
Mr. Speaker|| segregation, history, nation
Mr. Speaker|| speaker, minutes, agreed
Mr. Speaker|| body, congress, constitution
Mr. President|| bill, amendments, people
Mr. Speaker|| bills, tactics, rise
Mr. President|| essential, costs, drug
Mr. Speaker|| ranking, speaker, recognizing
Madam President|| level, women, prineville
Mr. Chairman|| streams, normal, protection
Mr. President|| fiscal, president, assumptions
Mr. Chairman|| general, earlier, bill
Mr. President|| accounts, funds, reduction
Mr. Speaker|| united, investment, relationship
Madam President|| journal, representatives, office
<|endoftext|>|| private, wall, bloom
Mr. Speaker|| supreme, constitutional, resolution
Mr. Speaker|| committee, reconciliation, provides
Mr. Speaker|| commemorating, time, work
Mr. President|| waste, nuclear, federal
Mr. President|| congress, months, wait
Mr. Speaker|| o'clock, adjourn, previous
Mr. President|| senators, leader, today
Mr. Speaker|| constitution, women, drop
<|endoftext|>|| pointed, concerned, trade
Mr. Chairman|| chairman, respect, due
Mr. President|| president, decision, bills
Mr. Chairman|| pennsylvania, construction, shuster
Mr. President|| staff, great, chiefs
Mr. Chairman|| tempore, request, retroactively
Mr. Chairman|| present, xviii, acting
<|endoftext|>|| figuring, authority, people
Mr. President|| increases, senator, credit
Mr. President|| world, washington, america
Mr. Chairman|| amendment, support, union
<|endoftext|>|| work, working, gentleman
Mr. President|| senator, comments, act
<|endoftext|>|| legislation, recall, introducing
Mr. President|| colleague, interior, chairman
Mr. President|| withdraw, senator, arizona
Madam Speaker|| children, commonsense, families
Madam Chair|| madam, demand, proceedings
Mr. President|| designees, provided, control
<|endoftext|>|| senate, families, strength
Mr. Speaker|| playing, festival, route
Mr. President|| reformed, students, church
<|endoftext|>|| bill, big, process
Madam President|| fun, recognize, rodriguez
<|endoftext|>|| permit, engineering, glad
Mr. President|| amendment, time, increased
Mr. Speaker|| federal, oklahoma, politico
Mr. President|| authorities, authority, university
<|endoftext|>|| rain, commend, doubt
<|endoftext|>|| badly, report, rarity
Mr. Speaker|| republican, absolutely, gentleman
<|endoftext|>|| economy, recovery, madam
Mr. Speaker|| world, ahmadinejad, judaism
Mr. Speaker|| time, hear, yield
Mr. Speaker|| bill, reuse, county
Mr. Speaker|| constitution, plan, president
Mr. Speaker|| azerbaijan, united, aliyev
Mr. President|| senate, tuesday, auto
Mr. Chairman|| rise, war, fidel
<|endoftext|>|| election, funnel, friend
<|endoftext|>|| regimen, job, terms
Mr. Chairman|| charter, billion, genuinely
Mr. President|| heard, north, states
Mr. Chairman|| congress, money, amendment
Mr. Speaker|| effort, budget, year
Mr. President|| learnings, century, colleague
Mr. Speaker|| stamps, stamp, figure
Mr. President|| secretary, natural, unanimous
Mr. Chairman|| gentleman, great, job
<|endoftext|>|| resolution, people, sore
Mr. Chairman|| led, streamlining, stricken
Mr. Speaker|| massachusetts, doctors, medical
<|endoftext|>|| money, colorado, senate
Madam Chairman|| chairman, site, debate
Mr. President|| impacts, budget, program
<|endoftext|>|| quickly, judiciary, senator
Mr. Speaker|| unanimous, days, bill
Mr. President|| april, wednesday, unanimous
Mr. Chairman|| devastating, amendment, collapse
Mr. President|| admiral, enlisted, federal
Mr. President|| tomorrow, bill, morning
Mr. President|| allowing, service, senator
Mr. President|| democrat, partnership, revolution
Mr. President|| october, senate, dirksen
Mr. Speaker|| recycling, reduce, recycles
Mr. Speaker|| beer, american, yuengling
<|endoftext|>|| decision, week, pledge
Mr. Chairman|| deficit, savings, appropriation
Madam Speaker|| stole, pennsylvania, talk
Mr. Speaker|| newt, republican, quote
Mr. Speaker|| learned, reminds, spending
Mr. Chairman|| behalf, amendment, smoking
Mr. Speaker|| health, measure, funding
Mr. President|| west, colleagues, americans
Mr. Speaker|| schakowsky, speaker, member
<|endoftext|>|| pay, knew, instruments
Mr. President|| men, raid, honor
Madam Speaker|| madam, west, rural
Mr. Speaker|| day, postsecondary, speaker
Mr. Speaker|| states, terrorists, united
Mr. Chairman|| gentleman, introduce, agreed
<|endoftext|>|| small, income, work
Mr. President|| rooney, art, victory
Mr. Speaker|| wall, environment, time
Madam Speaker|| reform, live, rise
Mr. President|| building, dirksen, affairs
Mr. President|| department, language, vote
Mr. President|| institution, abby, attention
<|endoftext|>|| security, taxes, counsel
Mr. Speaker|| arkansas, tomorrow, birthday
Mr. President|| votes, president, office
Mr. Chairman|| compensation, law, courts
Mr. Speaker|| friend, king, major
<|endoftext|>|| object, order, regular
<|endoftext|>|| prevent, president, office
<|endoftext|>|| address, government, sentencing
<|endoftext|>|| years, broad-based, belabor
Mr. Speaker|| nation, speaker, simple
Mr. Chairman|| chairman, south, minutes
Mr. Speaker|| world, exports, gatt
Mr. Speaker|| yielding, efforts, chamber
Mr. Chairman|| increase, years, provide
Madam President|| put, sense, open
<|endoftext|>|| proceed, morning, bill
Mr. President|| people, bill, billion
<|endoftext|>|| consent, matter, proceedings
Mr. President|| law, officers, police
Mr. President|| room, consent, office
Mr. President|| amended, unanimous, table
Mr. President|| floor, thune, amount
Mr. President|| highway, proceed, thought
Madam President|| build, quonset, congress
Madam Speaker|| republicans, rangel, manhattan
Madam President|| floor, program, tax
Mr. Speaker|| adam, sergeant, day
<|endoftext|>|| tribute, service, moran
<|endoftext|>|| bill, legislation, good
Mr. President|| repatriation, president, protection
Mr. Speaker|| world, business, north
