Mr. President|| morning, 10:30, president
Mr. Speaker|| gray, manage, legislation
<|endoftext|>|| lawrenceville, interesting, designed
Mr. Chairman|| children, make, americans
<|endoftext|>|| virtually, president, credit
Mr. Chairman|| law, immigration, amendment
Mr. Speaker|| amendment, select, limit
Mr. Speaker|| americans, speaker, healthcare
Mr. President|| senator, areas, area
Mr. Speaker|| pointing, yield, york
Mr. Speaker|| interest, grew, percent
Mr. Chairman|| committee, time, offered
Mr. Chairman|| americans, rural, communications
Mr. Speaker|| deny, america, care
Mr. President|| country, men, corps
Mr. President|| provide, agreement, action
Mr. Chairman|| bringing, happy, ensure
Mr. President|| minutes, equally, speak
Mr. Speaker|| skill, allowing, party
<|endoftext|>|| minute, talk, yield
Mr. President|| senator, listening, chamber
Mr. President|| left, support, achieves
Mr. President|| insurance, program, farm
Madam Speaker|| order, bilirakis, reclaiming
<|endoftext|>|| bigger, policy, reform
Mr. President|| november, lobbying, affairs
<|endoftext|>|| part, chung, greek
<|endoftext|>|| absent, inhofe, senators
Mr. Speaker|| handbook, updates, committee
Mr. President|| suffolk, service, lugar
Mr. President|| brave, serve, duty
<|endoftext|>|| key, research, north
Mr. President|| business, president, morning
<|endoftext|>|| part, medicare, solvent
Madam President|| job, today, vote
Mr. President|| today, visited, remarks
Mr. Speaker|| congress, works, earned
Mr. President|| treaty, ratification, abm
Mr. President|| open, treaty, national
Mr. Speaker|| congress, member, educate
Mr. President|| offer, understanding, situation
Mr. President|| floor, yield, unanimous
Mr. Chairman|| combest, soviet, chairman
Mr. Speaker|| cruz, image, sophie
Madam Speaker|| madam, october, bill
<|endoftext|>|| add, put, order
<|endoftext|>|| lieutenant, united, major
Mr. Chairman|| open, federal, michigan
Madam Speaker|| today, rollcall, absent
Mr. Speaker|| objection, tempore, extraneous
Mr. President|| united, college, president
Mr. Chairman|| cows, chairman, people
Mr. President|| statement, belief, president
<|endoftext|>|| administrator, defense, agency
Mr. Chairman|| include, leaders, guyana
<|endoftext|>|| rule, construction, fact
Madam President|| country, chamber, deconcini
Mr. Speaker|| speaker, bill, investors
Madam Speaker|| goal, leave, jersey
<|endoftext|>|| section, arizona, time
Mr. Chairman|| rise, amendment, employment
<|endoftext|>|| cbo, president, projection
<|endoftext|>|| talking, floor, million-dollar
Mr. Speaker|| speaker, gentleman, ordered
Mr. Speaker|| america, remembrance, commitment
Mr. Speaker|| federal, pages, printed
Mr. Speaker|| happened, proposal, floor
Madam Speaker|| speaker, leadership, stimulus
Mr. Speaker|| act, senate, colorado
Mr. President|| comments, america, american
Madam Speaker|| rise, house, opportunity
Mr. Speaker|| consume, china, members
Mr. Chairman|| support, stand, injured
Mr. Speaker|| unanimous, extraneous, revise
<|endoftext|>|| god, american, congratulations
Mr. Speaker|| crowd, school, wanted
<|endoftext|>|| agree, court, thomas
Mr. Chairman|| point, doha, market
Mr. Chairman|| firestone, fetzer, gundlach
Mr. Speaker|| speaker, noriega, scott
Mr. President|| government, budget, security
Mr. Chairman|| share, amendment, gentleman
Mr. President|| protections, privacy, president
Mr. Speaker|| bill, rules, back
Mr. President|| meet, committee, start
<|endoftext|>|| friend, unfortunate, utilize
<|endoftext|>|| plan, talked, commercial
<|endoftext|>|| preserve, yukon, section
Mr. President|| work, weeks, congress
Mr. President|| november, spending, federal
<|endoftext|>|| personal, friend, dinner
Mr. Chairman|| proposal, chairman, side
Madam President|| public, interest, ownership
<|endoftext|>|| article, weaken, maintain
Mr. President|| amendments, regard, budget
Mr. President|| ride, space, made
<|endoftext|>|| concern, written, department
Mr. President|| national, guard, president
Mr. President|| process, reorganization, accountability
Madam Speaker|| university, congressional, college
Madam Speaker|| put, bear, species
Mr. Speaker|| march, feast, today
Mr. Speaker|| speaker, general, states
Mr. Chairman|| afghanistan, served, defense
Mr. Chairman|| energy, solar, volts
Mr. Speaker|| bills, agenda, fairness
Mr. President|| frist, young, pennsylvania
Mr. President|| west, senator, miles
Mr. Speaker|| medicare, gentlewoman, connecticut
Mr. Speaker|| coffee, work, pay
Mr. President|| resources, african, work
<|endoftext|>|| care, year, trade
Mr. Speaker|| united, california, idaho
Mr. President|| constitution, colorado, individuals
Mr. President|| including, virginia, time
Mr. Chairman|| restore, training, neighborhood
Mr. President|| issues, tomorrow, agreement
Mr. President|| propose, country, state
Mr. President|| united, westmoreland, criminal
Madam Chair|| real, fair, federal
Mr. President|| bank, owed, imf
<|endoftext|>|| expect, time, tuesday
Mr. President|| aviation, congress, airline
Madam President|| million, assistant, secretary
Mr. Chair|| gentlewoman, guilty, chairman
Mr. President|| union, soviet, bill
Mr. President|| sponsored, set, unanimous
Mr. President|| join, family-owned, bill
Madam President|| nation, competition, public
Mr. President|| senate, bill, countrywide
Mr. President|| ryan, president, information
Mr. Chairman|| pleased, gentleman, understand
Madam President|| insurance, care, florida
Mr. President|| incur, criminals, representatives
<|endoftext|>|| americans, east, legislation
Mr. Speaker|| members, gentleman, proposal
Mr. Speaker|| homes, support, extend
<|endoftext|>|| america, triple, levels
Mr. Speaker|| rise, vote, page
<|endoftext|>|| background, senator, imposed
Mr. Speaker|| action, united, coffee
Mr. President|| sudan, sponsors, terrorism
<|endoftext|>|| bill, house, insight
<|endoftext|>|| florida, time, speaker
<|endoftext|>|| costs, flexibility, act
Madam President|| herzegovina, united, security
Mr. Speaker|| marines, base, colleagues
Mr. Chair|| chair, gentleman, economy
Mr. Speaker|| split, support, 50-50
Mr. President|| montana, made, nays
Mr. President|| filibuster, debate, senator
Mr. Speaker|| balance, tempore, pro
Mr. Speaker|| hunter, strengthen, senate
Mr. President|| business, speak, minutes
<|endoftext|>|| hard, work, power
Mr. Speaker|| george, polish, speaker
Madam Speaker|| fire, dollars, madam
Mr. Chairman|| correct, heard, speak
<|endoftext|>|| inquiries, farm, waste
Mr. Chairman|| thought, members, reluctantly
Mr. President|| state, tax, hezbollah
Mr. President|| iowa, student, students
Mr. President|| market, senate, presidentially
Mr. President|| resolution, consideration, architect
<|endoftext|>|| inspector, retiree, retirement
Mr. Speaker|| reform, african, afford
Mr. Speaker|| day, october, motors
Mr. Speaker|| united, percent, mfn
<|endoftext|>|| waiver, country, buying
<|endoftext|>|| delaware, reported, senator
Mr. Speaker|| ryan, american, constitution
Mr. Speaker|| federal, representative, time
Mr. Speaker|| million, agreement, appropriations
Mr. Speaker|| hauled, percent, passed
<|endoftext|>|| remainder, inhofe, time
Mr. President|| finally, berger, making
Mr. Chair|| defense, friend, state
Mr. Speaker|| corners, bill, court
Mr. Chairman|| yielding, months, gentlewoman
Mr. Speaker|| balance, offered, amendment
<|endoftext|>|| defense, active, proud
Mr. Speaker|| monday, consent, objection
<|endoftext|>|| country, true, communities
Mr. Chief Justice|| rudy, admission, witnesses
Mr. President|| business, republicans, expired
Mr. President|| consent, proceed, consideration
Mr. President|| issues, president, behalf
Mr. Speaker|| subcommittee, concurrent, commission
Mr. Chairman|| strong, count, matter
Mr. President|| president, united, health
Mr. President|| senate, residents, president
Mr. Chairman|| chairman, authority, blm
Mr. President|| fair, bill, billion
Mr. President|| oceanic, science, committee
Mr. Chairman|| people, state, county
Mr. Speaker|| bill, job, cole
<|endoftext|>|| canada, dearly, bring
<|endoftext|>|| democrat, member, fiscally
Mr. President|| lose, continue, entitled
Mr. Speaker|| corporal, national, remains
Mr. Speaker|| senate, representatives, congressman
Mr. President|| community, mourn, mexico
Mr. President|| authorize, immigration, border
Mr. Speaker|| talking, planet, wonderful
Mr. Speaker|| telling, reforms, committee
Mr. President|| taxpayer, tax, provide
Mr. President|| staff, caucus, senate
Mr. President|| months, office, chicago
Mr. President|| immediately, colleagues, accountability
Mr. Chairman|| year, start, programs
Mr. Chairman|| fiscal, things, chairman
Mr. President|| bill, minutes, role
Mr. Speaker|| china, gentleman, salmon
<|endoftext|>|| genealogists, north, alaska
Mr. Chairman|| chair, appropriators, legislate
Mr. Speaker|| prevention, victims, support
Mr. President|| coats, paul, order
Mr. Chairman|| private, chairman, conference
<|endoftext|>|| care, good, close
Mr. Speaker|| system, speaker, people
Mr. President|| doe, energy, nrc
Mr. Speaker|| white, senate, days
Mr. Speaker|| speaker, days, remarks
Mr. Speaker|| humanitarian, tacloban, november
Mr. President|| president, communities, chicago
Mr. President|| women, bill, centers
Mr. President|| nomination, meet, peter
Mr. President|| adjourn, time, consent
Madam President|| madam, subcommittee, refugee
Mr. Chairman|| gentleman, skelton, executive
<|endoftext|>|| deficit, limit, debates
Mr. President|| gae, september, president
Mr. Speaker|| speaker, purchase, repeal
Mr. President|| protection, bill, president
Mr. President|| president, israel, states
Mr. President|| wounded, vote, president
Mr. President|| regrettably, senate, close
Mr. President|| president, men, service
Mr. President|| forces, state, today
<|endoftext|>|| initiative, committee, title
Mr. President|| week, leadership, finish
<|endoftext|>|| friend, good, small
<|endoftext|>|| bill, talking, appropriation
Mr. Speaker|| bipartisan, yield, gentleman
Mr. President|| today, buddy, teacher
Madam President|| wars, country, defense
<|endoftext|>|| congress, king, birmingham
Mr. Chairman|| time, chairman, arrive
<|endoftext|>|| bills, briefly, yield
Mr. President|| wise, president, nation
Mr. President|| dirksen, office, scheduled
Mr. Speaker|| neighborhoods, housing, philadelphia
Mr. Chairman|| applies, colleagues, folks
Mr. President|| vote, cut, bill
Madam Speaker|| total, regions, agreement
Mr. Speaker|| funderburk, north, state
Mr. Speaker|| floor, today, usfa
Mr. President|| loan, decision, borrower
<|endoftext|>|| defense, travel, solution
Mr. Chairman|| farm, yielding, peanut
Mr. Speaker|| unanimous, include, speaker
Madam Speaker|| senators, minute, lawfully
<|endoftext|>|| tierney, speaking, good
<|endoftext|>|| war, strategic, petroleum
<|endoftext|>|| occurred, president, office
Mr. Speaker|| rise, provide, security
<|endoftext|>|| system, wild, oregon
<|endoftext|>|| aid, stone, massachusetts
Mr. President|| supported, marks, organization
Mr. President|| includes, interest, surface
Mr. Chairman|| chairman, motives, questioned
Mr. President|| club, county, president
<|endoftext|>|| vote, latest, result
Madam President|| war, nation, attacks
<|endoftext|>|| amendment, substantive, understand
Mr. President|| president, states, state
Mr. President|| services, force, chief
Mr. President|| helped, quality, people
Madam President|| amendments, senator, benefits
Mr. Speaker|| greatest, law, small
Mr. Chairman|| world, heard, country
Mr. President|| consent, stand, adjournment
<|endoftext|>|| production, choose, employee
Mr. Speaker|| cut, fiscal, support
<|endoftext|>|| point, flawed, americans
Mr. Speaker|| times, sunday, special
<|endoftext|>|| named, approach, brought
Mr. Speaker|| broadcasting, today, foreign
Mr. President|| congress, bill, unconstitutional
Madam Speaker|| motion, rules, house
<|endoftext|>|| kind, inspections, nuclear
Mr. Speaker|| goodlatte, members, rescue
Madam Speaker|| extraneous, record, members
<|endoftext|>|| spending, speaker, industry
Mr. Speaker|| circuit, justice, partisan
Mr. President|| effect, president, defense
Mr. Speaker|| skaggs, strict, groups
<|endoftext|>|| conference, senate, working
Mr. President|| transportation, president, department
Madam Chairman|| gas, attempt, funds
Mr. Chairman|| committee, gentleman, yielding
Mr. Speaker|| material, legislative, objection
Mr. President|| lynne, gannett, constitutional
Mr. President|| american, direction, iraq
Mr. Chairman|| safety, fair, antidiscrimination
<|endoftext|>|| childhood, link, caused
Mr. President|| repeal, rise, morning
Mr. Speaker|| ensure, board, repay
Mr. President|| concur, occurring, table
Mr. Speaker|| workplaces, federal, heard
Mr. Speaker|| record, important, budget
Mr. President|| boys, nation, state
Mr. Chairman|| clinic, disease, program
Mr. Chairman|| people, alcoholics, hud
Mr. Speaker|| yield, egyptian, step
Mr. Speaker|| rise, bill, golden
Mr. President|| victims, line-item, veto
<|endoftext|>|| part, iowa, early
Mr. Chairman|| make, federal, office
Mr. Speaker|| house, speaker, time
<|endoftext|>|| energy, small, amendment
Mr. Speaker|| millions, week, nation
Madam President|| guest, senator, american
<|endoftext|>|| chamber, enter, objected
<|endoftext|>|| administration, textiles, aware
Madam President|| force, readiness, national
Mr. Chairman|| total, department, move
Madam Chair|| postponed, offered, proceedings
<|endoftext|>|| good, technology, lot
Mr. President|| senators, fellow, injury
Mr. President|| object, issue, benefits
Madam Speaker|| additional, united, security
Mr. President|| industry, state, amendment
Mr. President|| leader, business, minutes
<|endoftext|>|| daunting, paid, view
Mr. Speaker|| adjourn, tomorrow, previous
Mr. Speaker|| rules, two-thirds, gentleman
Mr. Speaker|| yield, rules, res
Mr. Speaker|| job, dole, member
Mr. President|| minutes, gains, lot
Mr. President|| federal, defense, oregon
Mr. Speaker|| organization, awareness, january
Mr. President|| generic, competition, prescription
Madam President|| part, india, procedures
Mr. President|| association, senate, supermarkets
Madam President|| serbian, bosnian, madam
Madam Speaker|| achievement, school, decades
Mr. President|| president, committee, received
Mr. Speaker|| order, baseline, dollars
<|endoftext|>|| wrote, high, back
<|endoftext|>|| tax, years, committee
Mr. Speaker|| illinois, country, disease
Mr. President|| national, improve, birth
<|endoftext|>|| vote, owen, supreme
<|endoftext|>|| people, american, time
Mr. Speaker|| chairwoman, address, america
Madam President|| lower, credit, rates
Mr. Speaker|| delauro, connecticut, member
<|endoftext|>|| communities, highway, construction
Mr. President|| proposed, working, ranking
Mr. Speaker|| companies, house, issue
Mr. Speaker|| house, move, noes
<|endoftext|>|| brown, plan, speaker
Mr. President|| hour, lunch, bill
Mr. Chairman|| chairman, acting, financial
Mr. Speaker|| worked, scott, house
Mr. Chairman|| committee, yielding, duck
Madam Speaker|| question, speaker, urge
Mr. President|| epa, amendment, normal
Mr. Speaker|| speaker, national, women
Madam President|| relation, investigations, michigan
Mr. President|| attorney, preserving, office
Mr. President|| judge, nominees, republican
<|endoftext|>|| companies, boyle, american
Mr. President|| select, senate, tuesday
Madam President|| supreme, constitution, president
Mr. Chairman|| security, programs, activities
Mr. President|| senator, back, state
Mr. Speaker|| vote, enforcement, time
<|endoftext|>|| children, fairness, wrong
<|endoftext|>|| priscilla, estrada, floor
Mr. President|| billion, fifty-one, trillion
Mr. Speaker|| continuously, minutes, california
Madam Speaker|| material, speaker, days
Mr. Speaker|| harmless, yielding, congress
Mr. Speaker|| california, work, times
Madam President|| legal, madam, pointing
<|endoftext|>|| pentagon, democrats, committee
Mr. Chairman|| keeping, public, billion
<|endoftext|>|| create, wonderful, oklahoma
<|endoftext|>|| major, contention, instruct
<|endoftext|>|| sense, wrap, earlier
Mr. President in his farewell message to the people of Hawaii|| senator, people, congress
Mr. Speaker|| people, discussion, state
<|endoftext|>|| democratic, accept, mistake
<|endoftext|>|| acted, desires, heard
Mr. President|| michigan, medicine, schools
<|endoftext|>|| gentlewoman, connecticut, extra
Mr. Chairman|| chairman, amendment, country
Mr. Speaker|| states, title, question
Mr. President|| carolina, jobs, percent
Mr. President|| foreign, alaska, oil
Mr. President|| consent, authorized, president
<|endoftext|>|| qualified, day, alternative
Mr. Speaker|| hall, speaker, congress
<|endoftext|>|| south, perdue, tennessee
Mr. President|| president, records, time
Mr. Chairman I yield 3 minutes of my 7\1/2\ minutes to the gentlewoman from Florida [Mrs. Meek]|| chairman, florida, consent
Mr. President|| side, chair, changed
Mr. Speaker|| legislative, states, environmental
Mr. Speaker|| pump, waste, price
Mr. Speaker|| business, committee, important
Mr. Speaker|| north, association, agriculture
<|endoftext|>|| repatriating, sanctions, bill
Mr. Chair|| homeland, million, grants
Mr. Speaker|| breyer, clearing, grab
Mr. President|| president, confront, legislation
<|endoftext|>|| seeking, conference, senators
Madam President|| coney, debate, president
Mr. President|| work, plan, compared
Mr. Speaker|| concern, district, residents
Mr. Chair|| gentleman, wisconsin, rollcall
<|endoftext|>|| support, california, action
Mr. Speaker|| speaker, suggestions, gentleman
Mr. Speaker|| washington, committee, people
Mr. Speaker|| appropriations, miami, previous
Mr. Chairman|| supreme, abortion, obligate
Mr. President|| session, discuss, programs
Madam Speaker|| state, government-run, schip
Mr. President|| brown, pretty, vitter
Mr. President|| million, america, medicare
Madam President|| votes, list, worked
Mr. Speaker|| reform, democrats, house
<|endoftext|>|| numerous, bipartisan, parts
Mr. President|| leahy, president, hearings
Mr. Speaker|| members, remarks, revise
Mr. President|| debate, agreed, unanimous
Mr. President|| committed, committee, side
<|endoftext|>|| california, unanimous, consent
<|endoftext|>|| leave, thing, monopoly
<|endoftext|>|| resume, gregg, senators
Mr. Speaker|| resolution, ordered, tempore
Madam President|| national, madam, mexico
Mr. President|| year, budget, pay
Mr. President|| fame, terrific, president
Mr. Speaker|| head, funds, recognize
Mr. President|| families, americans, leave
Mr. Speaker|| speaker, consent, unanimous
Mr. Speaker|| gentleman, government, benefits
Mr. President|| program, men, states
Mr. Speaker|| southwest, texas, hardin
Mr. President|| soviet, issue, torture
Mr. President|| announced, shaheen, ernst
<|endoftext|>|| relations, respect, sources
Mr. Speaker|| united, pay, today
Mr. President|| affairs, president, gulf
Mr. Chairman and my colleagues|| native, chairman, points
Mr. Speaker|| minimum, tax, americans
Madam Speaker|| balance, motion, house
Madam Chairman|| point, jersey, alaska
Mr. Speaker|| yielding, protects, environment
Mr. President|| pharmaceutical, americans, health
Mr. Speaker|| western, face, united
<|endoftext|>|| responding, costs, money
Mr. Speaker|| hong, report, months
Mr. President|| home, management, protect
Madam Speaker|| bill, list, taxpayer
Madam Chairwoman|| shortchanged, stop, areas
Mr. Speaker|| reserve, afghanistan, taliban
Madam President|| amendment, remove, board
Madam President|| john, senate, filibuster
Mr. Chairman|| spent, pork, colleagues
Mr. Speaker|| world, discuss, floor
<|endoftext|>|| things, aware, stress
