Mr. Speaker|| status, discretionary, legislation
Mr. President|| care, budget, america
Mr. Chairman|| interest, terms, yielding
<|endoftext|>|| expectation, today, afternoon
Mr. President|| board, business, rise
Mr. Speaker|| voted, percent, republican
Mr. Speaker|| tempore, inquire, pro
Mr. President|| armenia, united, award
<|endoftext|>|| installation, protection, yield
Mr. President|| storage, facility, policy
Mr. Speaker|| americans, consume, appropriations
Mr. Speaker|| politics, ban, stop
Mr. President|| adam, full, position
Mr. Speaker|| congressman, dingell, representatives
Mr. President|| forces, presidents, made
Mr. President|| entitled, early, building
Mr. Speaker|| agreed, minutes, monday
Mr. Chairman|| amendment, funds, money
Mr. Speaker|| act, speaker, commerce
<|endoftext|>|| firms, scientists, cap
Mr. President|| wrong, government, reason
<|endoftext|>|| orientation, clinton, government
Mr. Chairman|| education, cutting, spend
Mr. President|| university, young, senate
<|endoftext|>|| senators, vote, state
Mr. Speaker|| report, vital, commitment
Mr. President|| desk, consent, marine
Mr. Chairman|| illinois, level, majority
Mr. Speaker|| bill, ship, passenger
Mr. Chairman|| barcia, minutes, campbell
Mr. Speaker|| request, members, extraneous
<|endoftext|>|| telecommunications, consumer, authority
Mr. President|| appointed, superior, case
<|endoftext|>|| kids, graduate, student
Madam Chairman|| california, cost, school
<|endoftext|>|| rulemaking, close, effort
Madam President|| majority, madam, durbin
Mr. Speaker|| texas, time, unanimous
Mr. Speaker|| reagan, speaker, people
Mr. Speaker|| convicted, official, institution
Mr. Speaker|| bush, speaker, fact
Mr. Speaker|| conditions, american, time
<|endoftext|>|| citizens, younger, aware
Mr. Speaker|| country, general, anbar
Mr. President|| abortion, protection, survivors
Mr. Speaker|| health, insurance, held
Mr. President|| commerce, september, transportation
Mr. Speaker|| consume, june, general
Mr. Chairman|| language, theodore, bill
Mr. President|| fiscal, funds, earthquake
<|endoftext|>|| utility, corruption, northern
<|endoftext|>|| subcommittee, psychology, recruitment
Mr. Speaker|| ana, cox, speaker
Mr. Chairman|| give, committee, system
<|endoftext|>|| found, sunshine, bill
Madam President|| reserve, committee, senate
<|endoftext|>|| legislation, discussion, amendments
Mr. President|| obama, earned, fair
Mr. Speaker|| petition, federal, care
Mr. Chairman|| committee, bill, development
Mr. Speaker|| special, waited, capuano
Mr. Chairman|| community, programs, funding
<|endoftext|>|| follow, basic, understanding
Mr. Speaker|| democrat, concerned, consume
Mr. Speaker|| serving, americans, tragic
Mr. Speaker|| motion, instruct, bill
<|endoftext|>|| bad, responding, develop
Madam Speaker|| york, madam, americans
Mr. Chair|| vfw, wishes, albans
Mr. Speaker|| constitution, press, president
Madam President|| china, cwc, president
Mr. President|| federal, courts, party
Mr. President|| area, friend, work
Madam Speaker|| program, agriculture, texas
Mr. Speaker|| strong, ninth, law
Mr. President|| committee, provisions, proud
Mr. President|| traditions, highest, dedication
Mr. President|| president, fully, yield
Mr. Speaker|| november, house, legislative
<|endoftext|>|| system, privilege, crime
Mr. Speaker|| mchugh, coverage, good
Mr. President|| july, committee, public
<|endoftext|>|| federal, law, speaker
Mr. President|| health, foster, states
<|endoftext|>|| majority, gentleman, form
Mr. Speaker|| bill, week, veterans
<|endoftext|>|| family, taxes, house
Madam Speaker|| spent, madam, government
Mr. President|| credit, yield, residents
Mr. Speaker|| aristocracy, obviate, bill
Mr. President|| corporation, education, city
Mr. President|| teamsters, decree, election
Mr. Speaker|| bills, nuclear, research
Mr. Speaker|| balanced, medicare, oppose
<|endoftext|>|| delphi, airplanes, america
Mr. Chairman|| burdensome, existing, resources
<|endoftext|>|| senator, law, secretary
Mr. Chair|| indiana, strongly, chair
Mr. Speaker|| raul, communities, officers
Mr. President|| governors, personal, senator
Madam President|| repeal, find, senator
Mr. President|| proposed, law, pass
Mr. Speaker|| republicans, people, taxes
Mr. President|| read, action, printed
Madam Speaker|| monday, madam, davids
<|endoftext|>|| destruction, concerns, simply
Mr. Speaker|| mexican, holiday, americans
<|endoftext|>|| understood, query, difference
<|endoftext|>|| support, association, democrat
Mr. Speaker|| smartest, gentleman, sales
Mr. Chairman|| science, development, subcommittee
<|endoftext|>|| appropriations, business, motion
<|endoftext|>|| amount, shifts, money
Madam President|| senate, friend, distinguished
Madam President|| aisle, circular, amendment
Mr. President|| government, payments, settle
<|endoftext|>|| car, transportation, frequently
Madam Speaker|| madam, speaker, chamber
Mr. Chairman|| research, word, food
Mr. Speaker|| credit, speaker, paul
Mr. Chairman|| kentucky, jewish, republican
Mr. Speaker|| congress, great, committee
Mr. Speaker|| surplus, year, rule
<|endoftext|>|| majority, companies, jobs
Mr. Speaker|| congratulate, member, time
Mr. President|| time, president, yield
Madam Speaker|| speak, speaker, bills
Mr. Chairman|| progress, standard, sets
Mr. Speaker|| monday, agreed, morning
<|endoftext|>|| voted, taxes, budget
Mr. President|| debt, raise, president
<|endoftext|>|| seat, speak, senator
<|endoftext|>|| failure, carter, men
Mr. Speaker|| make, history, civil
Mr. Speaker|| democrats, vote, election
Mr. President|| illinois, kasey, care
Mr. Speaker|| 12:30, o'clock, september
Mr. Chairman|| cities, potential, ports
Mr. Speaker|| war, world, time
<|endoftext|>|| promote, earth, citizens
Mr. President|| markets, exchange, speculation
Mr. Speaker|| tough, york, touch
Mr. President|| president, allotted, finished
<|endoftext|>|| proposed, negotiation, arizona
Mr. Speaker|| museum, insurance, issue
Mr. President|| city, ashley, school
<|endoftext|>|| college, education, today
Mr. Speaker|| ackerman, unlike, stand
Mr. President|| senator, circuit, minority
<|endoftext|>|| clarify, sending, tool
Mr. President|| states, officer, privilege
Mr. Speaker|| ports, make, world
Mr. Speaker|| billion, nursing, pension
Mr. President|| october, national, amendment
Mr. Speaker|| budget, funding, safety
<|endoftext|>|| government, sought, nose
Mr. Speaker|| troops, president, beirut
Mr. President|| vote, proposes, funding
Mr. Chair|| flexible, benefits, acting
<|endoftext|>|| prevented, made, technical
Mr. President|| gettysburg, anniversary, commemorate
Mr. President|| aircraft, forces, appropriations
<|endoftext|>|| delinquent, child, bill
Mr. Speaker|| require, coverage, availability
Mr. Chairman|| time, tennessee, friend
Mr. Speaker|| gentleman, amended, days
Madam President|| department, nominee, work
Mr. President|| senator, democrats, senators
<|endoftext|>|| bush, senator, speak
<|endoftext|>|| disregard, result, nation
Mr. Speaker|| mrs., hobson, motion
Madam Speaker|| madam, uphold, offense
Mr. Speaker|| monday, o'clock, conference
Mr. Chairman|| lobby, lobbying, congress
Mr. President|| history, bowl, team
Mr. Chairman|| requisite, states, laws
Mr. President|| land, rules, nelson
Mr. Speaker|| soybean, easier, durbin
Mr. President|| xxii, quorum, legislative
<|endoftext|>|| affidavits, intelligence, addition
Mr. Speaker|| section, council, resolution
Mr. President|| senator, congress, long
Mr. Speaker|| rise, care, access
<|endoftext|>|| question, friend, finish
Mr. Chairman|| oil, attempt, interior
Mr. Chairman|| force, defense, protected
Mr. President|| president, nation, joined
Mr. Chairman|| departments, state, motion
Mr. Chairman|| fair, urges, amendment
Madam Chairman|| real, poor, madam
<|endoftext|>|| pensions, senator, left
<|endoftext|>|| congresswoman, jobs, michele
Madam President|| order, officer, unanimous
Madam Chairman|| sanchez, women, chairman
<|endoftext|>|| federal, comments, service
Mr. Speaker|| emerson, mickey, horn
<|endoftext|>|| concerns, happen, respond
Mr. Chairman|| act, promised, local
Mr. Speaker|| bush, billion, problem
Mr. President|| path, committee, entitled
Mr. Speaker|| giving, charitable, bill
Mr. President|| wednesday, journal, rule
Mr. Speaker|| study, speaker, deal
Mr. President|| process, point, authorizing
<|endoftext|>|| laws, court, parenthood
<|endoftext|>|| democrat, republican, agenda
Mr. Chairman|| business, small, budget
<|endoftext|>|| moscow, included, involved
<|endoftext|>|| bureaucracies, loans, inefficient
Mr. Chairman|| andrews, things, lot
Mr. Speaker|| chairman, energy, bill
Mr. President|| diversion, nation, office
Mr. President|| today, senate, wednesday
Mr. President|| enforcement, funding, programs
Mr. Speaker|| special, people, representative
Mr. Speaker|| military, afghanistan, enemies
Mr. President|| identity, building, meet
Mr. President|| aisle, agriculture, october
Mr. Speaker|| materials, objection, extraneous
<|endoftext|>|| senate, time, paid
Mr. Speaker|| cures, treatment, pancreatic
<|endoftext|>|| move, vote, anxious
Mr. President|| involves, senators, triad
<|endoftext|>|| gentleman, well-known, attention
Mr. President|| republicans, assistance, kids
Madam President|| congress, equal, growth
Mr. President|| substitute, act, senator
Mr. Franks|| explain, welfare, office
Mr. Chairman|| project, global, gef
Mr. Speaker|| surgeon, america, agree
Mr. President|| remarks, june, business
Mr. President|| suspend, rules, senator
Mr. Speaker|| dollars, studds, marine
<|endoftext|>|| back, treasury, presiding
<|endoftext|>|| support, gentleman, alaskan
Mr. President|| today, minutes, expired
<|endoftext|>|| institutions, reauthorization, proposed
Mr. Chairman|| colleagues, transit, strong
<|endoftext|>|| session, hour, debate
Mr. Speaker|| years, tonight, died
Mr. President|| service, code, nation
Mr. Speaker|| nampa, states, speaker
Mr. President|| south, bath, pay
Mr. President|| medicaid, rich, kids
Mr. President|| rhode, countless, president
Mr. Speaker|| russians, russia, accession
Madam Chairman|| industry, states, people
Madam President|| human, nation, people
Mr. Speaker|| trend, generations, began
Mr. President|| amendment, wellstone, target
Mr. President|| senator, seniors, medicare
Mr. President|| president, water, environmental
Madam Speaker|| representative, davis, spark
Mr. President|| colleague, years, corporation
Mr. President|| thousands, days, final
Mr. Chairman|| discretionary, percent, spratt
Mr. President|| session, reform, senate
Mr. President|| community, school, family
Madam President|| summer, people, washington
Mr. Speaker|| legislative, revise, pro
Mr. Speaker|| restrictive, case, manage
<|endoftext|>|| research, data, private
<|endoftext|>|| frankly, understand, december
<|endoftext|>|| concerns, brought, current
Mr. President|| spend, ago, point
Mr. President|| agreed, resolution, thereto
<|endoftext|>|| protect, time, deterrent
Mr. Speaker|| overreach, question, vote
Mr. President|| vermont, chairman, provisions
Mr. President|| helpful, louisiana, states
Mr. Speaker|| attackers, violence, acts
Mr. President|| ifor, bosnian, services
Mr. President|| staff, today, ruptured
<|endoftext|>|| store, fuel, licenses
Mr. Chairman|| terms, joint, service
<|endoftext|>|| oregon, supposed, sessions
Mr. Chairman|| federal, page, line
Madam Speaker|| act, evans, create
Mr. Speaker|| full, whitewater, yesterday
Mr. Chairman|| fair, strike, support
Mr. Speaker|| week, gulf, airport
Mr. President|| president, fine, good
Mr. Speaker|| speaker, pro, extend
Mr. Speaker|| simply, program, constitution
<|endoftext|>|| rules, time, things
Mr. Speaker|| speaker, discredit, minority
Mr. President|| broader, understand, question
Mr. President|| gsu, recognize, national
Mr. President|| receiving, governors, ensure
Madam President|| rate, assessment, million
Mr. President|| long, guard, life
Mr. President|| washington, political, fired
Mr. President|| distinguished, recognized, committee
Mr. President|| sales, wetzel, association
Mr. Speaker|| months, department, speaker
Mr. President|| affairs, committee, calendar
<|endoftext|>|| recession, middle, americans
<|endoftext|>|| frankly, senates, plug
<|endoftext|>|| hard, country, arizona
Mr. President|| park, state, acadia
<|endoftext|>|| peoples, good, trade
Mr. Chairman|| chairman, public, morale
Mr. Speaker|| journal, waiver, mentioned
Mr. President|| modest, eliminate, senator
Mr. President|| national, proceed, resolution
<|endoftext|>|| water, standard, americans
Mr. Chairman|| funds, bill, feel
Mr. Speaker|| america, recently, court
Mr. Speaker|| rise, houston, support
Mr. President|| significant, dynamic, milestone
Mr. Chairman|| prohibit, floor, forever
<|endoftext|>|| distinguished, realize, time
<|endoftext|>|| year, realized, talk
Mr. President|| time, president, supplementation
Mr. President|| community, states, sch
Mr. President|| mrs., council, award
Mr. Chair|| work, chair, colleague
<|endoftext|>|| leadership, lay, senator
Mr. President|| senator, order, president
Mr. President|| amendment, work, portion
Mr. President|| important, july, month
Mr. Chairman|| house, employees, job
Madam Speaker|| children, president, health
Madam Speaker|| aye, interior, california
Mr. Chairman|| support, alerts, environmental
Mr. Chairman|| make, issue, chairman
Mr. Chairman|| rise, coalition, energy
Mr. President|| campaign, president, chamber
Mr. President|| friend, federal, organization
Mr. Speaker|| program, concerns, hospital
Mr. Speaker|| administration, gains, chart
Madam Speaker|| time, thing, committee
Mr. Speaker|| provide, creation, needed
<|endoftext|>|| kirk, voting, carolina
Madam Chair|| administration, john, act
<|endoftext|>|| men, amendment, house
<|endoftext|>|| racing, distinguished, percent
Madam Speaker|| make, question, proceedings
Mr. President|| department, judiciary, hurricane
Mr. President|| show, president, feldman
Mr. Chairman|| morella, mrs., yielding
Mr. Chairman|| amendment, rise, unlike
Mr. President|| majority, career, honor
Mr. Speaker|| removed, pro, alabama
Mr. President|| nays, hour, amendment
Madam Speaker|| budget, act, speaker
Mr. President|| world, college, outstanding
Mr. Chairman|| nonideological, simply, proposals
Madam Speaker|| belongs, work, back
Mr. President|| technical, consent, amendments
<|endoftext|>|| laws, similar, sakes
<|endoftext|>|| listened, decision, farmland
Madam Speaker|| public, private, federal
Madam President|| minerals, president, impact
<|endoftext|>|| tourism, increasingly, back
<|endoftext|>|| yield, moving, recognized
<|endoftext|>|| laundering, transaction, counterfeiting
Mr. President|| record, offered, january
Mr. Chairman|| state, bill, make
Mr. Speaker|| revise, unanimous, legislative
Mr. Speaker|| california, homeland, regard
Mr. President|| support, central, initiative
Mr. President|| forward, republican, house
Mr. Speaker|| number, hit, wages
<|endoftext|>|| floor, remarks, person
Mr. President|| relating, resolution, president
Mr. Speaker|| rise, medical, cures
Mr. President|| republican, waiting, order
Mr. Speaker|| president, speaker, benjamin
<|endoftext|>|| truckers, solutions, crumbling
Madam Chairman|| xvi, requires, make
Mr. President|| bradley, tax, women
Mr. Speaker|| reject, rejected, refusing
Mr. President|| massachusetts, building, office
Mr. Speaker|| subcommittee, mccollum, representatives
Mr. Chairman|| make, radio, reagan
Mr. Chairman I move to strike the requisite number of words.  Mr. Chairman|| charters, charter, hand
Madam Speaker|| consent, bill, california
<|endoftext|>|| ranking, amendment, gentleman
Mr. Speaker|| small, stock, retain
Mr. Speaker|| spoke, investigation, people
<|endoftext|>|| texas, act, bills
Mr. Speaker|| surely, political, long
<|endoftext|>|| cafta, trade, american
Madam President|| yield, country, responsibility
Mr. Speaker|| talking, blood, speaks
<|endoftext|>|| penalty, retirement, good
Madam President|| point, president, moment
Mr. President|| authorized, organizations, june
Mr. President|| states, wyden, language
Mr. Chairman|| postponed, clause, printed
Madam Speaker|| hill, speaker, abington
Mr. Speaker|| partial, foundational, speaker
Mr. President|| years, committee, office
Mr. President|| years, celebrating, opening
<|endoftext|>|| state, districts, school
Mr. President|| problem, problems, matter
Mr. Speaker|| lobbyists, petition, committed
<|endoftext|>|| theatre, local, murphy
Mr. Speaker|| judiciary, marriage, bill
Mr. President|| chair, yielded, amendment
Mr. President|| china, senate, economic
Mr. Speaker|| tempore, members, materials
Mr. President|| senator, diaz, executive
Mr. President|| readiness, bill, authorization
Mr. President|| general, senate, surgeon
<|endoftext|>|| vote, control, minutes
<|endoftext|>|| calendar, leader, suspension
Mr. President|| council, amendment, national
Mr. President|| health, program, indians
<|endoftext|>|| iowa, bill, year
Mr. Speaker|| request, speaker, lahood
Mr. Chairman|| program, attempt, remember
Mr. President|| considered, exhibits, years
Mr. Speaker|| justices, supreme, speaker
Mr. Speaker|| commercial, pace, role
Mr. President|| intelligence, closed, authorized
Mr. President|| authorized, president, committee
Mr. President|| issues, senator, americans
Mr. Speaker|| employees, plan, states
<|endoftext|>|| consequence, white, senator
Mr. Speaker|| smith, arkansas, united
Mr. President|| hearing, bases, buildings
Mr. President|| war, prayers, homeland
Mr. Speaker|| request, reserving, michigan
<|endoftext|>|| break, republican, house
Mr. Speaker|| nations, international, darfur
<|endoftext|>|| friday, real, monday
Mr. President|| unanimous, modified, lincoln
Mr. Speaker|| fire, time, lives
<|endoftext|>|| gao, act, agency
Madam Chair|| ohio, americans, mrs.
<|endoftext|>|| approach, time, public
Mr. Speaker|| cncs, america, volunteers
Mr. President|| senators, senate, year
Mr. Speaker|| federal, reports, bush
Mr. Chair|| military, authorization, debate
Mr. President|| balanced, pass, amendment
Mr. President|| president, legal, state
Mr. Speaker|| call, construction, family
Mr. President|| dirksen, department, executive
Mr. President|| choose, demonstration, beginning
Mr. President|| liberty, arizona, pair
Mr. President|| consent, time, thursday
<|endoftext|>|| people, secret, committee
Madam Speaker|| provisions, coronavirus, american
Mr. President|| arizona, kyl, president
<|endoftext|>|| alternatives, electronic, devices
Mr. Speaker|| department, speaker, killed
<|endoftext|>|| bill, taking, takings
Mr. Speaker|| related, consent, legislative
<|endoftext|>|| senator, provision, negotiations
Mr. Speaker|| public, committed, alabama
Mr. Chairman|| obey, amendment, million
Mr. President|| congress, prime, future
<|endoftext|>|| america, americans, debt
<|endoftext|>|| federal, country, work
<|endoftext|>|| minutes, yield, member
Mr. President|| president, hearing, resources
Mr. President|| washington, reid, democrats
Mr. Speaker|| demand, tempore, pro
Mr. President|| program, senate, assistance
Mr. Speaker|| extend, passed, extraneous
<|endoftext|>|| motion, committee, congressional
Mr. President|| wyden, domenici, read
Mr. President|| white, brownsburg, president
Mr. Speaker|| valuable, act, world
Mr. President|| agreement, negotiations, violation
<|endoftext|>|| men, deal, funds
Mr. Speaker|| lot, hear, anymore
Madam Speaker|| wilson, university, campus
Mr. President|| judicial, law, courts
<|endoftext|>|| part, worst, budget
Mr. Speaker|| david, rise, minnesota
Mr. President|| agree, suggest, give
Mr. President|| bill, penalties, enhanced
Mr. Speaker|| utah, advise, hansen
Madam President|| virginia, limit, time
Mr. Speaker|| flight, flights, smoking
Mr. President|| passed, time, bill
Mr. Speaker|| working, set, page
<|endoftext|>|| service, medal, year
<|endoftext|>|| issue, academy, veterans
<|endoftext|>|| produce, acting, radioactive
Mr. Speaker|| armed, iraq, join
