Madam Speaker|| folks, happy, americans
Mr. President|| 9:30, committee, senate
Mr. Speaker|| crisis, big, talk
Mr. Speaker|| choose, speaker, women
Mr. President|| personal, teen, states
Madam Speaker|| nuclear, korea, peninsula
Mr. Chairman|| send, gentleman, sensitivity
<|endoftext|>|| states, waivers, program
<|endoftext|>|| wisconsin, kirk, isakson
Mr. Speaker|| federal, states, government
Mr. Speaker|| time, general, yield
<|endoftext|>|| siniora, effect, washington
<|endoftext|>|| defeated, appeals, judges
Mr. Speaker|| thing, site, hearings
Mr. President|| debate, maryland, friend
Mr. President|| trade, tax, american
Mr. Speaker|| long-term, families, welfare
Mr. Speaker|| time, speaker, continuing
Mr. President|| access, guard, rooney
<|endoftext|>|| constitutional, amendment, marriage
<|endoftext|>|| missiles, talking, california
<|endoftext|>|| thirty-four, facility, county
Mr. President|| made, nicholson, comment
Mr. Speaker|| previous, minutes, order
Mr. Chairman|| dimas, california, hamilton
Mr. Speaker|| rahall, representatives, congress
Madam Speaker|| free, journalists, media
Madam Speaker|| veterans, schedule, madam
Mr. Chairman|| service, pay, employees
Mr. President|| country, c-span, back
Mr. Chairman|| security, chairman, american
Mr. President|| crimes, speak, today
Mr. Chairman|| lithium, including, research
<|endoftext|>|| gimmicks, estate, targeted
<|endoftext|>|| altmire, agenda, rules
Mr. President|| officer, presiding, called
<|endoftext|>|| move, back, faced
Mr. President|| worked, senator, bill
Mr. Speaker|| lives, substitute, millions
<|endoftext|>|| clean, set, yield
Mr. President|| child, act, government
Mr. Chairman|| yield, overstayed, criminalizing
<|endoftext|>|| information, provided, suggests
<|endoftext|>|| senator, lautenberg, record
Mr. Speaker|| bipartisan, revitalization, restrictions
<|endoftext|>|| correct, desire, graham
Mr. Speaker|| administration, virginians, vote
<|endoftext|>|| bills, americans, amendments
Mr. President|| ranches, heritage, senator
Mr. President|| yield, senator, cooperation
Mr. Speaker|| faucet, barbara, mandate
Mr. Speaker|| darrell, agencies, friend
Madam President|| jobs, pass, republicans
Mr. President|| pay, president, benefits
Mr. President|| safety, moore, service
Mr. President|| peacekeeping, rise, money
Mr. Speaker|| speaker, york, controls
Mr. Chairman|| strong, termination, give
Mr. President|| defraud, michigan, wars
Mr. President|| afghanistan, feet, lot
Mr. Speaker|| institutions, foreign, recent
Mr. President|| consent, committee, pacific
Mr. Speaker|| tempore, days, pro
<|endoftext|>|| multinational, bill, united
Mr. President|| age, civil, house
Mr. Speaker|| family, engineering, james
Mr. Speaker|| ranking, services, member
Madam President|| senator, impossible, move
Mr. President|| staff, tempore, acting
Mr. President|| technology, act, lakes
Madam President|| accurate, order, madam
Mr. Chairman|| side, add, amendment
<|endoftext|>|| deliberations, avoidance, conclusion
<|endoftext|>|| presidents, roosevelt, americans
Mr. Chairman|| subcommittee, nation, commitment
Mr. President|| president, people, indiana
Mr. Speaker|| time, administration, energy
Mr. Speaker|| good, day, speaker
Mr. President|| floor, yielding, motions
Mr. Speaker|| speaker, crime, children
<|endoftext|>|| companies, constituents, generators
Mr. President|| motion, agreement, minutes
Mr. Chairman|| california, made, lamalfa
Mr. Chairman|| romania, buying, great
Mr. President|| manufacture, legislation, senate
Mr. Chairman|| chairman, contraception, fistulas
Mr. Speaker|| raising, support, dedicated
Mr. Speaker|| speaker, israel, time
<|endoftext|>|| program, insurance, health
Mr. President|| county, butte, veteran
Mr. Speaker|| funding, pennsylvania, central
Mr. Speaker|| sensitivity, respect, minutes
<|endoftext|>|| brace, armey, great
Mr. President|| consent, demint, vote
Mr. Speaker|| gentleman, trust, social
Mr. President|| colorado, follow, law
Mr. Speaker|| civic, boehner, amendment
<|endoftext|>|| safety, mexico, stockpile
<|endoftext|>|| year, topics, raised
Madam President|| city, place, program
Mr. Chair|| continue, support, work
<|endoftext|>|| solve, black, amended
Mr. Speaker|| care, federal, states
Mr. President|| support, funding, construction
Mr. Speaker|| consent, pro, speaker
Mr. Speaker|| america, man, post
Mr. Chairman|| amendment, mexico, permanent
Mr. Chairman|| lend, services, bill
Mr. President|| industry, tony, akron
Mr. President|| passed, analysis, assembled
Mr. President|| congress, tax, domestic
<|endoftext|>|| forward, house, challenge
Mr. President|| general, health, children
Mr. Speaker|| put, speaker, unscrupulous
Mr. Speaker|| house, history, eloquent
Mr. Speaker|| bring, interested, yielding
Mr. Chairman|| domestic, promise, services
Mr. President|| senator, july, amendment
<|endoftext|>|| fund, international, consequences
Mr. President|| assistant, plan, simply
Mr. President|| foreign, committee, president
Mr. President|| amendment, bill, noncash
Mr. President|| july, president, committee
Mr. President|| areas, cost, services
Mr. Speaker|| legislation, house, yield
Mr. Speaker|| english, so-called, percent
<|endoftext|>|| reason, violated, nuclear
Mr. Speaker|| conference, voted, unable
<|endoftext|>|| closing, forests, overgrown
Mr. Speaker|| amendment, today, act
<|endoftext|>|| order, legislation, colleague
Mr. Speaker|| direct, benefits, bill
<|endoftext|>|| eliminating, proper, add
Madam Speaker|| back, kildee, comments
Mr. Chairman|| republican, yield, amendment
Mr. Speaker|| reform, international, security
Mr. Speaker|| travel, blue, speaker
Mr. President|| objection, submitted, resolutions
Mr. President|| senator, rate, extended
Mr. Speaker|| partisan, offered, clinger
Mr. President|| management, health, senate
Mr. Speaker|| ronald, mourning, state
Mr. Speaker|| affiliation, claim, concerned
Mr. President|| grassley, understand, america
Mr. Chairman|| address, threat, injury
Mr. President|| sgt, justin, hero
<|endoftext|>|| subject, box, immigration
Mr. President|| felt, senator, limited
<|endoftext|>|| mate, distasteful, forced
<|endoftext|>|| construction, highway, vehicle
Mr. Chairman|| chairman, money, question
Mr. Chairman|| safe, world, planning
Mr. President|| consent, committee, session
Mr. President|| mccain, work, time
<|endoftext|>|| senate, senator, senators
<|endoftext|>|| gentleman, members, california
Mr. President|| forms, unique, physical
Mr. President|| back, senator, trade
Mr. Chairman|| gentleman, back, subsequent
Mr. Speaker|| tax, day, oil
Mr. Chairman|| taxpayers, ohio, british
<|endoftext|>|| colleague, home, federal
<|endoftext|>|| gentleman, tax, families
Mr. President|| latin, dia, country
Mr. Chairman|| amendment, maryland, chairman
Mr. President|| committee, hearing, farmers
Mr. Chairman|| support, copies, cut
<|endoftext|>|| doubtful, yielding, hopeful
<|endoftext|>|| billion, sector, industry
Madam Speaker|| dimes, support, care
<|endoftext|>|| war, ago, congress
Mr. Speaker|| congress, time, recommit
Madam Chairman|| words, strike, committee
Mr. Speaker|| search, section, benefit
Mr. President|| safety, hazardous, children
Madam Speaker|| speaker, oklahomans, state
Mr. Speaker|| loan, bill, congress
Mr. President|| soup, make, exemption
Mr. Chairman|| buildings, percent, gsa
Mr. Speaker|| health, quality, choice
Mr. President|| record, pro, today
Mr. Speaker|| concurrent, members, tempore
Mr. President|| view, president, today
Madam President|| care, state, people
Mr. President|| complex, president, boise
Mr. President|| duty, men, destruction
<|endoftext|>|| votes, offered, operations
Mr. President|| monday, unanimous, provisions
<|endoftext|>|| control, legislation, move
Madam Speaker|| california, loans, congresswoman
<|endoftext|>|| pizza, today, southeast
Mr. Speaker|| states, ppp, cities
Mr. Speaker|| expressed, speaker, gentleman
Mr. President|| washington, battlefield, modifying
<|endoftext|>|| gentleman, order, rescission
Mr. President|| impression, senators, congress
Madam Speaker|| members, days, request
Mr. President|| bill, frustration, seriousness
Mr. President|| career, missouri, president
Mr. Chairman|| funding, options, yielding
<|endoftext|>|| gift, support, time
<|endoftext|>|| gentleman, tempted, member
Madam Speaker|| people, speech, children
<|endoftext|>|| congresswoman, congressional, hirono
Mr. President|| people, senator, grand
Mr. Chairman|| decisions, due, distribution
<|endoftext|>|| washington, thought, senator
<|endoftext|>|| make, withdraw, social
Mr. President|| health, lot, elements
Mr. Speaker|| gay, discrimination, nation
<|endoftext|>|| direct, appropriated, report
Mr. Chairman|| moratorium, national, chamber
Mr. President|| savings, keating, president
Mr. Speaker|| peace, president, legislation
Mr. President|| government, county, made
<|endoftext|>|| applicable, rules, participation
Mr. President|| tps, questioning, venezuelans
Mr. Chairman|| threat, priority, warhead
Mr. President|| conclude, end, modified
<|endoftext|>|| dear, read, voted
Mr. Speaker|| people, america, today
Mr. President|| resolution, monday, october
Mr. Chairman|| decisions, habitat, unsubstantiated
<|endoftext|>|| glad, answers, give
Mr. President|| senator, time, back
Madam Speaker|| republican, happy, coverage
Mr. President|| minutes, total, side
<|endoftext|>|| republicans, sides, vote
Mr. Chairman|| dollars, billions, spent
Mr. President|| society, federal, intrusion
<|endoftext|>|| vice, sense, intelligence
Mr. Speaker|| speaker, time, suspend
<|endoftext|>|| senator, prohibition, mandates
Mr. President|| order, 2:12, objection
Madam President|| consulted, member, michigan
Mr. Speaker|| day, grounds, resolution
Mr. Chairman|| committee, page, house
Mr. Speaker|| consume, speaker, killed
Mr. President|| dewine, communities, children
Mr. President|| president, senator, unanimous
Mr. Speaker|| democrats, families, deficit
Mr. Speaker|| speaker, amendment, unanimous
<|endoftext|>|| speaker, united, close
Mr. Chairman|| bill, order, postponed
Mr. Speaker|| yield, member, gentleman
<|endoftext|>|| acidification, shellfish, oceans
Mr. Speaker|| campaign, republican, finance
Mr. Speaker|| speaker, gallon, cents
Mr. President|| general, progress, withdrawal
Mr. Speaker|| listened, colleague, relating
Mr. President|| conduct, indian, committee
Mr. Speaker|| objection, speaker, rise
Mr. Speaker|| sports, association, dotson
Madam Speaker|| rates, code, bill
Mr. President|| president, senators, business
Mr. President|| americans, class, health
Mr. President|| unanimous, surprised, amended
<|endoftext|>|| acting, withdraw, madam
Mr. Speaker|| rule, house, amendments
Madam President|| america, president, war
Mr. Speaker|| rule, hour, vote
<|endoftext|>|| fresno, front, decision
Madam President|| debate, saudi, make
Mr. Speaker|| speaker, ten, king
Madam Speaker|| court, abuses, bill
<|endoftext|>|| management, inflation, growth
Mr. Speaker|| support, south, house
Madam Speaker|| michigan, york, benefit
Mr. Chairman|| courts, president, made
Mr. President|| receive, service, agency
<|endoftext|>|| call, buckley, roll
<|endoftext|>|| president, funding, million
Mr. President|| week, chinese, vote
<|endoftext|>|| law, continue, costs
Madam Speaker|| officer, oregon, lost
Mr. Speaker|| health, nation, suburban
Mr. President|| houston, great, hits
Mr. President|| limit, america, republicans
Mr. Chairman|| responsibilities, chairman, gentleman
Mr. Chairman|| president, gentleman, july
Mr. Speaker|| year, issues, cliff
Mr. President|| president, environment, companies
Mr. President|| wanted, guess, group
Mr. Speaker|| yield, times, bill
<|endoftext|>|| include, request, remarks
Mr. Chairman|| blueprint, medicaid, year
Mr. Speaker|| california, cut, tax
Madam President|| devoted, friends, police
<|endoftext|>|| effect, spr, urged
Mr. President|| seniors, family, service
Madam Speaker|| apologize, colleague, yielded
Mr. Speaker|| federal, house, speaker
Mr. Chairman|| page, strike, words
<|endoftext|>|| programs, broad, noting
Mr. Speaker|| lot, regulations, democrats
Mr. President|| anchorage, president, work
Mr. President|| gasoline, people, state
Mr. President|| members, comments, bring
<|endoftext|>|| unanimous, claimed, split
Mr. Speaker|| job, street, congress
Mr. President|| woman, barbara, kennedy
Mr. Chair|| state, listening, government
Mr. President|| submitting, march, outlines
Mr. President|| time, superb, intelligence
Mr. Speaker|| hour, limit, consume
<|endoftext|>|| members, republicans, petition
Mr. Chairman|| business, state, amendment
Mr. Speaker|| jobs, lost, taxpayer
<|endoftext|>|| affordable, americans, votes
Mr. President|| americans, post, york
<|endoftext|>|| jersey, congress, vote
Madam Speaker|| consequences, vote, madam
<|endoftext|>|| tax, clinton, absolutely
Mr. Speaker|| motion, agreeing, authorized
<|endoftext|>|| farmers, gentleman, region
<|endoftext|>|| assume, night, side
Mr. President|| senate, lay, act
Mr. President|| served, year, president
Mr. Speaker|| necessarily, unfunded, order
Mr. President|| select, standing, rule
Mr. Chairman|| relief, nlrb, member
<|endoftext|>|| time, gun, sniper
Madam Speaker|| washington, speaker, majority
Mr. Chairman|| job, subcommittee, gentleman
<|endoftext|>|| institutions, education, students
Mr. Speaker|| recognized, issues, marine
Mr. Speaker|| dedicated, health, community
Mr. Speaker|| members, time, student
Mr. Speaker|| planning, national, put
Mr. President|| health, president, failed
<|endoftext|>|| reform, district, amtrak
Mr. President|| earlier, senate, act
Mr. President|| president, colleague, unanimous
<|endoftext|>|| back, speaker, yield
Mr. Chairman|| endangered, flood, opposition
Mr. Speaker|| funds, pennsylvania, speaker
<|endoftext|>|| york, built, americans
Madam Speaker|| things, fair, friends
Mr. Speaker|| biological, position, committee
Mr. Chairman|| chairman, ground, amendment
Mr. Chairman|| overdue, issue, environment
Mr. Speaker|| defense, opposition, designed
Mr. Speaker|| shut, reason, wanted
Madam President|| president, investments, act
<|endoftext|>|| fda, issue, senator
Mr. President|| beginning, taxpayers, american
Mr. Speaker|| balance, speaker, convinced
Mr. Speaker|| regiment, michigan, served
<|endoftext|>|| amount, fiscal, year
<|endoftext|>|| democrats, committee, senate
Mr. Speaker|| cast, immigration, white
Mr. President|| position, enter, widespread
Mr. Chairman|| rise, jersey, river
Mr. Speaker|| today, navy, military
Mr. Speaker|| recommit, send, committee
<|endoftext|>|| adding, brought, record
<|endoftext|>|| address, session, people
<|endoftext|>|| reagan, coming, california
Madam Chair|| florida, recorded, xviii
Mr. Speaker|| democrat, commission, ago
Mr. Speaker|| nations, torture, manual
<|endoftext|>|| rate, compared, money
Mr. President|| minute, assist, provisions
Mr. Speaker|| remarks, consideration, extend
<|endoftext|>|| intent, floor, specific
Mr. President|| number, exists, issue
Mr. Speaker|| pay, yesterday, detroit
<|endoftext|>|| minute, stuff, programs
Mr. President|| constitution, search, respecting
Mr. Chairman|| amendments, offered, segments
<|endoftext|>|| language, pensions, whitehouse
Mr. Chairman|| unauthorized, order, bill
Mr. President|| epa, safety, york
<|endoftext|>|| follow, misinformation, late
<|endoftext|>|| colleagues, health, pass
<|endoftext|>|| speaker, letter, reaffirm
Mr. Speaker|| memphis, rhodes, january
Mr. Speaker|| friend, gingrich, serve
Mr. President|| corps, eisenhower, american
Mr. President|| relevant, pattern, remaining
Mr. Speaker|| medal, legislation, veterans
Mr. President|| home, federal, equity
Madam President|| domenici, allard, body
Mr. Speaker|| commission, potter, honorable
Mr. President|| senator, president, bill
Mr. Chairman|| opposition, million, endowment
Mr. Chairman|| amendment, chairman, appropriation
<|endoftext|>|| preamble, resolution, unanimous
Madam Speaker|| make, passes, worked
Mr. President|| director, cia, national
Mr. Chairman|| violent, ahead, state
<|endoftext|>|| bill, exclusion, finish
Mr. Speaker|| priorities, debate, move
Madam Chair|| states, lot, centers
Mr. Chairman|| idea, percent, funding
Mr. Chairman|| talking, yield, gentleman
Mr. President|| north, amendment, votes
Madam Speaker|| homeland, million, appropriations
Mr. President|| offer, president, senate
<|endoftext|>|| cigarette, work, health
Mr. President|| prayer, stand, consent
<|endoftext|>|| amount, resolution, million
Mr. Speaker|| speaker, department, great
Mr. Speaker|| chamber, immigration, speaker
Mr. Speaker|| proposal, hill, capitol
Mr. Speaker|| ago, carried, speaker
<|endoftext|>|| qualified, yield, good
Mr. Speaker|| chicago, people, congresswoman
<|endoftext|>|| remaining, pro, speaker
Mr. Speaker|| reform, vote, branch
Mr. Chairman|| forces, huey, air
Mr. President|| dot, transportation, meal
Mr. President|| minutes, shared, senator
Mr. President|| read, passed, motion
Mr. Speaker|| remember, states, invasion
Mr. President|| trucking, local, president
Madam Speaker|| washington, federal, hope
Mr. Speaker|| owens, shared, served
Madam President|| house, states, session
<|endoftext|>|| items, clear, expected
Mr. President|| cross-ownership, commission, support
Mr. Speaker|| commission, consume, yield
Mr. President|| schools, country, children
Mr. Speaker|| program, federal, inauguration
Mr. Speaker|| people, invest, world
Mr. President|| cut, tax, rockefeller
Madam President|| senator, facilitation, act
Madam Speaker|| consume, human, medical
Mr. Speaker|| member, wisconsin, balanced
Mr. President|| trillion, years, close
Madam President|| nation, president, state
Mr. President|| president, nigeria, outbreak
Mr. Speaker|| threat, americans, speaker
Mr. Speaker|| house, chairman, isf
<|endoftext|>|| state, children, unfunded
Mr. Chairman|| nation, term, address
Mr. Speaker|| speaker, yield, back
Mr. Speaker|| recommit, staff, start
Mr. Speaker|| tax, democrats, resolution
<|endoftext|>|| bill, amendments, gentleman
Mr. Chair|| house, state, pollution
Mr. President|| national, public, rocky
Mr. President|| add, senator, solution
Mr. Speaker|| republic, activities, mfn
Mr. Chairman|| xviii, house, vote
Mr. President|| united, officer, today
Mr. Speaker|| speaker, federal, state
Mr. Speaker|| finance, budget, newsweek
Mr. Speaker|| california, revise, unanimous
Mr. Chairman|| bill, congressional, political
Mr. Chairman|| yielding, immigration, borders
<|endoftext|>|| iran, nations, international
<|endoftext|>|| member, committee, trillion
Mr. President|| senators, western, hard
Mr. President|| represented, years, senate
Mr. Chairman|| voluntary, voluntarily, service
Mr. Chairman|| year, authorization, hunter
<|endoftext|>|| votes, choose, allowing
Mr. Chairman|| chairman, move, word
Mr. Chairman|| states, bycatch, rise
<|endoftext|>|| energy, sources, fund
<|endoftext|>|| million, congress, free
Madam President|| health, mental, law
