Mr. Chairman|| fdic, federal, loan
Mr. President|| pensions, save, record
<|endoftext|>|| chamber, people, country
Mr. Speaker|| today, work, veterans
Mr. Speaker|| today, office, remote
Mr. Chairman|| make, rise, secretary
Mr. Chairman|| blackmail, member, bill
<|endoftext|>|| amendment, rest, leadership
<|endoftext|>|| minutes, heavy, weighs
Mr. Chairman|| oversight, thing, government
<|endoftext|>|| country, gentleman, capita
Mr. Speaker|| gentleman, pro, revise
<|endoftext|>|| yield, reason, abbreviated
Mr. President|| hearing, senate, committee
Mr. President|| fitzgerald, woman, kennedy
Mr. Speaker|| hour, request, september
Mr. Chairman|| end, novo, chairman
<|endoftext|>|| madam, chief, stratcom
Mr. Speaker|| support, ranking, yielding
Mr. President|| authorized, unanimous, session
Mr. President|| october, hearing, unanimous
Mr. President|| judicial, career, post
Mr. President|| cleared, understanding, voice
Mr. President|| states, prisoners, america
Mr. President|| arizona, alluded, kyl
Mr. Speaker|| two-thirds, close, balance
Mr. Speaker|| restoring, troops, invasion
Mr. President|| made, senate, senator
Mr. President|| president, cut, murray
Mr. President|| washington, california, florida
Mr. Chair|| amendment, iran, nuclear
<|endoftext|>|| virginia, conclude, day
Mr. Chairman|| budget, government, critical
Mr. President|| meet, unanimous, september
Mr. Speaker|| speaker, soviet, states
Madam Speaker|| yeas, question, nays
<|endoftext|>|| project, year, danger
<|endoftext|>|| execute, militia, suppress
Mr. Speaker|| people, democrats, maryland
<|endoftext|>|| sexually, living, clinics
Mr. President|| jobs, anniversary, university
Mr. Speaker|| safe, human, hate
Mr. President|| president, great, essential
Madam President|| president, reserving, important
Mr. President|| armed, guard, future
<|endoftext|>|| work, proving, defense
Mr. Speaker|| michael, senate, william
Mr. President|| citizens, acts, constitutional
<|endoftext|>|| suggests, gentleman, medicine
Mr. Chairman|| overheated, chairman, protect
Mr. Chairman|| face, veterans, yield
Mr. President|| president, nebraska, requires
Mr. President|| objection, adjournment, president
Madam Speaker|| care, gentlewoman, abortion
<|endoftext|>|| opportunity, laws, respect
Madam President|| restate, full, president
Mr. President|| committee, relations, unanimous
<|endoftext|>|| capacity, senators, northeast
Mr. President|| member, colleague, senator
Mr. Chairman|| gentleman, expressed, enter
Mr. Speaker|| speaker, slaughter, rules
Mr. Chairman|| objection, consent, arrives
Mr. Chairman|| house, oversight, funds
Mr. Speaker|| bill, finally, areas
Mr. Speaker|| casino, communities, gambling
Mr. President|| provisions, agreement, vote
Mr. President|| deputy, chisum, special
<|endoftext|>|| framework, farm, dispute
Mr. Chairman|| colleague, yielding, bill
Mr. President|| american, businesses, members
Mr. Speaker|| process, body, justice
Mr. Speaker|| numbers, reflect, consent
Mr. Chairman|| united, lifting, aggression
Mr. Chairman|| act, yielding, foreign
Madam Speaker|| pharma, approved, time
Mr. President|| max, school, time
Mr. Speaker|| federal, landowners, hearings
Mr. Speaker|| disastrous, deal, respond
<|endoftext|>|| solomon, gentleman, reading
Mr. President|| response, president, senator
<|endoftext|>|| fine, individuals, insurance
Mr. President|| networks, meet, urban
Mr. President|| child, owes, stood
<|endoftext|>|| security, health, washington
Mr. Speaker|| state, folks, theater
<|endoftext|>|| billion, money, tonight
Mr. Chairman|| congress, permanent, transformed
Mr. Chairman|| interesting, mexico, gentleman
Mr. Chairman|| clinton, cut, delay
Mr. Speaker|| pass, tempore, chair
Mr. President|| commend, service, command
Mr. Chairman|| time, yielding, taxpayers
Mr. Speaker|| rise, today, gerald
<|endoftext|>|| america, ronald, medicaid
Mr. Chairman|| gentleman, michigan, raises
Madam Speaker|| speaker, political, chamber
Mr. President|| health, regulatory, safety
<|endoftext|>|| states, china, congress
Mr. Speaker|| authorization, speaker, patriots
Mr. Chairman|| admire, government, federal
Mr. President|| part, gulf, bill
Mr. Speaker|| thomas, people, richest
Madam Speaker|| lending, president, museum
Mr. Speaker|| time, republican, colleagues
Mr. Speaker|| fair, staff, operations
Mr. Speaker|| subcommittee, rule, lazio
<|endoftext|>|| account, spending, governmental
Madam Speaker|| respect, delegate, protected
<|endoftext|>|| request, provide, president
<|endoftext|>|| wealthy, children, rich
Mr. President|| time, committee, motion
Mr. President|| statement, precede, passage
Mr. President|| price, president, ago
Mr. Chairman|| emergencies, spending, funds
Mr. Speaker|| speaker, interior, yield
Mr. Speaker|| son, clayton, marietta
Mr. President|| subcontracts, president, referred
Mr. President|| states, burning, time
Mr. Chairman|| student, students, lot
Mr. President|| action, passage, senate
Mr. Chairman|| chairman, action, kennedy
Mr. Speaker|| members, amended, days
Mr. Speaker|| taxes, david, speaker
Mr. Speaker|| data, sign, shareholders
<|endoftext|>|| yield, amended, time
Mr. President|| building, january, hearing
Mr. Chairman|| serve, long, problem
<|endoftext|>|| colleague, discussed, proceedings
Madam Speaker|| speaker, taxpayers, barron
Madam President|| made, virginia, community
Mr. Chairman|| bill, nation, years
Mr. President|| building, health, leadership
<|endoftext|>|| order, formula, side
Mr. President|| america, family, program
<|endoftext|>|| systems, agriculture, daschle
Mr. Chairman|| national, committee, conference
Madam President|| senator, madam, clear
Mr. Chairman|| legal, chairman, restrictions
Mr. Chairman|| bill, securities, dollars
<|endoftext|>|| school, meals, menu
Mr. President|| marva, years, feel
<|endoftext|>|| virginia, raised, bill
<|endoftext|>|| time, children, supporting
Mr. Chairman|| gentleman, context, chairman
Mr. Speaker|| rules, res, gentleman
Madam Speaker|| president, united, purpose
Mr. Chairman|| ohio, attempted, support
Mr. President|| escort, recommendation, majority
Mr. Chairman|| rates, fcc, narrow
Madam Speaker|| bush, yesterday, deficit
Madam Speaker|| nation, system, coequal
Mr. Speaker|| legislation, million, provide
Mr. President|| fisheries, fishery, national
Mr. President|| years, term, past
Mr. Speaker|| relationship, ohio, concerns
<|endoftext|>|| political, evidence, empty
<|endoftext|>|| colleagues, real, floor
Mr. Speaker|| tribes, pleasure, join
Mr. Speaker|| agreement, billion, epa
Mr. Speaker|| yielding, assess, gentlewoman
Mr. President|| balanced, economy, america
<|endoftext|>|| health, washington, drug
Mr. President|| business, president, designees
Mr. President|| campaign, institutions, issue
Mr. President|| trust, art, state
Madam President|| consent, unanimous, president
<|endoftext|>|| make, bill, farm
Mr. Chairman|| lamborn, low-yield, likelihood
Mr. Speaker|| joint, resolution, provision
Mr. Speaker|| disabilities, program, aaas
Mr. President|| efforts, regulatory, applaud
Mr. Chairman|| subcommittee, programs, recognize
Mr. Speaker|| team, house, cup
<|endoftext|>|| pentagon, billion, develop
Mr. President|| improving, care, capital
<|endoftext|>|| aisle, great, dakota
<|endoftext|>|| title, taxpayer, make
Mr. Speaker|| years, cut, budget
Mr. Speaker|| california, open, paid
Mr. President|| justice, senator, enforcement
Mr. President|| united, committee, reed
<|endoftext|>|| six-month, worked, provisions
Mr. Speaker|| achieving, health, speaker
<|endoftext|>|| security, iraq, make
Mr. President|| progress, mexicans, evidence
Mr. Speaker|| serving, alleged, wrongdoings
<|endoftext|>|| idaho, youth, clearer
Mr. Chairman|| development, regional, center
Mr. Speaker|| state, federal, areas
Mr. Speaker|| provide, pmi, insurance
Mr. President|| long, hutchison, nickles
Mr. Chairman|| fiscal, budgets, yield
Mr. Speaker|| review, gentleman, congress
<|endoftext|>|| permanent, insular, limitations
<|endoftext|>|| contract, america, lives
Mr. President|| discuss, consent, propound
<|endoftext|>|| affordable, personal, care
Mr. Chairman|| york, northwest, rail
Mr. President|| software, february, problem
Madam Speaker|| democrats, pork, madam
Mr. Speaker|| resolution, minutes, transition
Mr. Speaker|| people, democrat, house
<|endoftext|>|| huang, soundless, important
<|endoftext|>|| solved, senate, work
Mr. President|| record, supreme, mississippi
Mr. Speaker|| request, arizona, unanimous
Mr. Chairman|| strike, leadership, walsh
Mr. Chairman|| committee, spence, national
Madam Speaker|| people, africa, western
Mr. Speaker|| young, producing, aislinn
Mr. President|| act, system, eliminating
Mr. President|| united, libertad, liberty
<|endoftext|>|| speakers, remaining, delay
Mr. Speaker|| bring, senate, budget
Mr. Speaker|| united, attorney, pascrell
Mr. Speaker|| taxes, individuals, consume
<|endoftext|>|| kerrey, make, including
Mr. President|| argument, amendment, accept
Mr. Chair|| agreed, yield, amendment
Mr. Chairman|| congress, acres, simply
Mr. Chairman|| stating, streets, states
<|endoftext|>|| lose, gentleman, score
Madam Speaker|| consent, consideration, pro
Mr. Chairman|| legislation, agree, top
Mr. President|| unanimous, permission, president
Mr. Speaker|| gentleman, comments, second-class
Mr. President|| hayden, waiting, presence
<|endoftext|>|| hole, kansas, slow
Mr. Speaker|| objection, pro, bill
Mr. President|| enforcement, smart, state
Mr. Speaker|| denominations, set, rely
Mr. Speaker|| committee, ranking, yield
<|endoftext|>|| pregnancy, suggest, wait
<|endoftext|>|| claims, question, spoke
<|endoftext|>|| republican, glad, government
Mr. Speaker|| important, fact, night
Mr. President|| state, interior, indian
Mr. Speaker|| federal, focusing, committee
Madam Chair|| transparency, madam, issue
Mr. Speaker|| rise, support, americans
Mr. Speaker|| thousands, balance, members
Mr. President|| funds, natural, continental
<|endoftext|>|| financial, united, implement
Mr. Speaker|| yeas, proceedings, chair
Mr. Chairman|| work, callahan, chairman
<|endoftext|>|| sharing, alternative, seniors
Mr. President|| states, resolution, greece
Mr. Speaker|| remember, tax, budget
Mr. Speaker|| contribution, remember, bush
<|endoftext|>|| senator, democratic, paul
Mr. Speaker|| plan, clinton, days
Mr. President|| increase, paying, amt
Mr. Chairman|| amendment, clause, printed
Mr. President|| america, people, senate
<|endoftext|>|| colleague, deal, effort
Mr. Chairman|| hard, money, gentleman
Mr. Speaker|| speaker, huu, joined
Mr. Speaker|| district, people, packages
Mr. President|| recognized, president, pending
<|endoftext|>|| bit, million, ctr
Mr. Speaker|| federal, requirements, district
Mr. Speaker|| cunningham, resendez, day
Mr. Speaker|| equally, missouri, time
<|endoftext|>|| clear, part, america
Mr. President|| daschle, house, thomas
Mr. President|| message, president, correct
Mr. Speaker|| lives, president, census
Madam Speaker|| madam, listen, seats
Mr. Speaker|| court, pornography, ten
Mr. President|| unanimous, president, called
Mr. Chairman|| chairman, house, jersey
Madam Speaker|| evans, speaker, yield
Mr. Speaker|| member, delaying, bill
Madam President|| minutes, completes, expired
Mr. President|| arkansas, worthwhile, mississippi
Mr. Chairman|| homeland, chairman, motion
Mr. President|| cheney, moment, clergy
Mr. President|| policy, consideration, vote
Mr. President|| seasonal, agriculture, plan
Mr. President|| american, senator, president
Mr. Speaker|| environmental, balance, republican
<|endoftext|>|| jurisdiction, gentleman, committee
<|endoftext|>|| report, million, energy
Madam Speaker|| hire, bill, encouraged
Mr. Chairman I rise today in opposition to the amendment offered by my colleagues|| opposition, colleagues, today
Madam Speaker|| bill, fact, senate
Mr. President|| credits, make, house
Mr. President|| president, amendment, cardin
<|endoftext|>|| rule, filibuster, senators
<|endoftext|>|| week, district, prior
<|endoftext|>|| clear, minnesota, cloture
<|endoftext|>|| make, states, bill
<|endoftext|>|| consent, timing, information
Mr. Speaker|| oil, energy, profits
Mr. Chairman|| program, years, year
<|endoftext|>|| leader, relations, national
Madam Speaker|| wilderness, users, creating
<|endoftext|>|| congress, disobey, speaker
Mr. President|| debate, action, resolution
Mr. President|| congress, moments, friendship
Mr. Speaker|| lindstrom, today, meridian
Mr. Speaker|| protect, speaker, sector
<|endoftext|>|| states, read, medicaid
Mr. President|| tuesday, business, owes
Mr. Speaker|| sopranos, financial, double
Madam Chairman|| north, question, carolina
Mr. Chairman|| beneficiaries, beneficiary, medicare
Mr. Chair|| proposal, resources, report
Madam Speaker|| friends, state, andrew
Mr. Chairman|| flexibility, law, precisely
<|endoftext|>|| raised, december, issue
<|endoftext|>|| views, national, phony
Madam Speaker|| speaker, ownership, americans
Mr. Speaker|| balance, yield, bill
Mr. President|| african-american, senator, women
Madam Speaker|| served, office, speaker
<|endoftext|>|| solely, bill, senate
Mr. Speaker|| ohio, secret, today
<|endoftext|>|| mandate, allowance, make
Mr. President|| reform, report, federal
Mr. Chairman|| area, chairman, economy
Mr. Speaker|| o'clock, open, speaker
Mr. Speaker|| action, speaker, good
Mr. Chairman|| printed, gentleman, offered
Mr. President|| worked, completely, clients
Mr. Chairman|| time, ranking, firefighters
Mr. President|| texas, linda, sacrifice
<|endoftext|>|| americans, budget, president
<|endoftext|>|| senator, president, reserving
Mr. President|| work, harkin, tom
Mr. President|| public, announce, title
Mr. Speaker|| civil, flag, stedman
Mr. Speaker|| journal, attack, consistently
Mr. President|| nih, research, sbir
<|endoftext|>|| speak, nebraska, consent
Madam Speaker|| sheriff, auburn, web
<|endoftext|>|| time, leader, compact
Mr. Chairman|| human, counternarcotics, heard
Mr. Chairman|| money, children, programming
<|endoftext|>|| president, custody, greatest
<|endoftext|>|| cities, ryan, medicare
Mr. Speaker|| consent, gentleman, pro
Madam President|| united, president, committee
Mr. Speaker|| national, safe, highway
<|endoftext|>|| cross, task, lost
Mr. Speaker|| iraq, afghanistan, castillo
Mr. President|| math, recognize, science
Madam Speaker|| race, faced, figures
Mr. Speaker|| men, freedom, constituents
Mr. Speaker|| speaker, manton, passage
Mr. Speaker|| areas, nation, amendments
Mr. President|| sex, offender, convicted
Mr. President|| local, group, worked
Mr. President|| maryland, charley, championship
Mr. President|| completes, unanimous, morning
Mr. Speaker|| calls, states, parliamentarian
Mr. President|| assessing, personnel, unanimous
<|endoftext|>|| bring, government, business
Mr. Speaker|| jersey, state, adopt
Mr. Chairman|| member, strong, gentleman
<|endoftext|>|| provision, kinds, true
Mr. Speaker|| missiles, hezbollah, hamas
Mr. Chairman|| comments, give, degree
<|endoftext|>|| things, thought, withhold
Madam Speaker|| speaker, bill, gentleman
<|endoftext|>|| first-line, cost-benefit, money
Mr. Speaker|| summit, americans, democrat
Mr. President|| colleague, works, intend
<|endoftext|>|| presidential, boundaries, meaning
Mr. Speaker|| civil, effect, courts
<|endoftext|>|| jefferson, investment, paid
Mr. Chairman|| budget, president, wisconsin
Mr. President|| president, related, hearings
Mr. Speaker|| cut, massachusetts, government
Mr. President|| nation, mrs., service
Mr. President|| resolution, priorities, strongly
<|endoftext|>|| military, time, iran
<|endoftext|>|| surface, signature, time
Mr. President|| students, percent, student
Madam Speaker|| congress, rules, sides
Mr. President|| pleased, congress, member
<|endoftext|>|| paying, hour, earning
<|endoftext|>|| forward, legislation, floor
Mr. President|| president, bill, proceed
Mr. President|| leader, today, complete
<|endoftext|>|| republicans, yield, children
<|endoftext|>|| state, veterans, gentleman
Mr. President|| energy, economy, colorado
Madam Speaker|| remarks, concurrent, objection
Mr. Speaker|| time, compensation, december
Mr. President|| bill, staff, association
Mr. President|| bonuses, paid, accountable
Mr. President|| cry, hue, suspended
Mr. President|| investigation, issue, committee
<|endoftext|>|| clear, electronic, fraud
Mr. President|| massachusetts, kerry, committee
Mr. President|| president, allison, november
<|endoftext|>|| senator, approach, alexander
Mr. President|| side, senator, senate
Mr. Speaker|| regard, contest, oath
Mr. Speaker|| freedoms, protests, make
Mr. President|| opportunity, small, committee
Mr. Chairman|| speaker, money, chairman
Mr. President|| company, president, o'leary
Mr. Speaker|| back, yielding, committee
<|endoftext|>|| act, kinds, consultation
Mr. Chair|| installations, working, key
Mr. Speaker|| vote, congress, rules
<|endoftext|>|| jury, defendant, insurance
Mr. President|| senator, domenici, national
Mr. Speaker|| order, part, tempore
Mr. Speaker|| passed, georgia, billion
Mr. President|| people, americans, act
Mr. Speaker|| house, chamber, billion
Mr. Speaker|| colleagues, farmers, labor
Mr. Chairman|| embassy, report, american
Mr. Speaker|| veterans, time, objection
Mr. President|| government, amendment, make
Mr. Chairman|| forest, timber, house
Madam Speaker|| jobs, world, committee
<|endoftext|>|| general, scathing, promoted
Madam President|| indian, senate, opportunity
Mr. Speaker|| distribution, pirated, copyright
<|endoftext|>|| reconciliation, pushing, billion
Mr. Chairman|| china, billion, climate
Mr. Chairman|| hastings, california, gentleman
Mr. President|| people, statement, house
Madam Speaker|| win, disappointed, rise
Mr. Speaker|| rule, postponed, pursuant
Mr. Speaker|| time, number, independent
Mr. Speaker|| republicans, great, series
Madam President|| bill, table, consent
Mr. Speaker|| back, balance, rules
<|endoftext|>|| concerned, plan, board
<|endoftext|>|| committee, interest, withdraw
Mr. Speaker|| children, president, republican
Madam President|| colleague, reports, months
Mr. President|| truth, interview, integrity
Mr. President|| highway, resolution, vote
Mr. President|| representatives, president, county
Madam Speaker|| call, times, loud
<|endoftext|>|| rise, government, congress
Mr. Speaker|| introduced, affordable, reform
Mr. President|| serve, vote, constitution
Madam Speaker|| congressman, madam, measure
Mr. President|| courage, officially, president
Mr. President|| president, legion, sacrifice
<|endoftext|>|| purchased, lines, states
Mr. Speaker|| kind, made, objection
Mr. Chairman|| training, defense, marine
Mr. Speaker|| speaker, america, committee
<|endoftext|>|| approximately, national, left
<|endoftext|>|| armed, mexico, author
<|endoftext|>|| america, local, trust
<|endoftext|>|| tank, iraq, cavalry
Madam President|| prayer, resume, september
Mr. Speaker|| opportunities, resources, financial
Mr. Chairman|| government, privatize, fleet
Mr. President|| future, conference, society
Mr. President|| mike, family, ssg
<|endoftext|>|| york, important, leadership
Mr. Speaker|| control, objection, california
Mr. President|| leader, spur, suggest
Mr. Speaker|| nation, service, maloney
Mr. President|| hawaii, today, blanca
Mr. Speaker|| missed, nay, rollcall
Mr. Speaker|| gail, month, university
<|endoftext|>|| security, development, human
Mr. President|| bill, subcommittee, indians
Mr. President|| office, president, 10:30
Madam Chairman|| care, child, immigrant
Mr. Speaker|| sam, johnson, speaker
Mr. President|| serve, maine, district
Mr. Speaker|| drugs, billion, pharmaceutical
Mr. Speaker|| federal, projects, vote
Mr. President|| morning, friday, adjourn
