<|endoftext|>|| point, yield, agreement
Mr. Speaker|| act, military, time
Mr. President|| opioid, affordable, ohioans
Mr. Chairman|| great, forward, vote
Madam Chairman|| madam, poe, half
Mr. Speaker|| spending, fact, yesterday
<|endoftext|>|| strong, time, good
Mr. Speaker|| rollcall, measures, aye
Mr. Chairman|| members, appropriations, projects
Mr. Speaker|| benefits, colleagues, reform
Mr. President|| country, subcommittee, bill
Mr. President|| speaking, hours, gregg
Madam President|| states, health, senator
Mr. Speaker|| nations, record, hansen
<|endoftext|>|| report, bottom, curve
Mr. Speaker|| york, true, gas
Mr. Speaker|| gentleman, days, request
Mr. Speaker|| rule, wildlife, house
Mr. Speaker|| health, bipartisan, steps
Mr. Chairman|| ohio, title, finish
Mr. President|| dakota, senator, president
Mr. Speaker|| school, speaker, law
<|endoftext|>|| senator, mandates, local
Mr. President|| filibuster, president, time
Mr. President|| assistant, president, staff
Mr. President|| senator, projects, public
Madam Chairman|| general, holder, body
Mr. Speaker|| security, european, rise
<|endoftext|>|| appropriations, speak, small
<|endoftext|>|| wife, vacation, dream
Mr. Speaker|| deficit, crime, wall
Mr. Speaker|| people, million, speaker
Mr. President|| college, series, casey
Mr. President|| helms, danforth, year
Mr. Speaker|| prices, make, respond
<|endoftext|>|| communicate, desk, effect
Mr. Chairman|| backlog, state, facility
Mr. President|| city, street, valhalla
Mr. President|| department, committee, receive
Madam President|| budget, hand, years
Madam President|| leaders, vote, minutes
<|endoftext|>|| sincerely, enlightenment, areas
Mr. Speaker|| unanimous, concurrent, meet
Mr. Chairman|| legislation, judiciary, committee
Mr. President|| international, mine, nations
Mr. Speaker|| railroad, road, rise
Mr. Speaker|| forward, raised, leader
<|endoftext|>|| congress, votes, senate
Mr. President|| made, state, senate
Mr. President|| policy, states, duties
Mr. Speaker|| american, minnesota, speaker
Mr. Speaker|| pass, vote, serve
Mr. Leader|| november, york, open
Mr. President|| opportunity, support, senator
Mr. Speaker|| friends, crisis, balance
Mr. President|| cuts, cut, assumptions
<|endoftext|>|| plant, proud, states
Mr. President|| president, wednesday, meet
Madam Speaker|| obstacle, bill, majority
Mr. Speaker|| mentioned, back, members
Mr. Speaker|| treaty, land, members
Mr. Chairman|| doctors, administrations, strike
<|endoftext|>|| scare, violent, people
<|endoftext|>|| nation, chair, remarks
<|endoftext|>|| bill, amended, motion
Mr. Speaker|| conference, modified, services
Mr. President|| president, majority, made
<|endoftext|>|| back, michigan, pro
Mr. Speaker|| rise, horrific, hours
Mr. Speaker|| press, biggs, freedom
Mr. President|| country, brown, rise
Mr. Chairman|| amendment, chairman, apply
Madam Speaker|| postmaster, gentleman, pennsylvania
<|endoftext|>|| agree, high, years
Mr. President|| mexico, gulf, young
Mr. Chairman|| wealthiest, rise, resolution
Mr. Speaker|| bring, balance, back
<|endoftext|>|| yielding, congresses, minority
<|endoftext|>|| giving, senate, members
Mr. Chairman|| american, illegal, country
Madam President|| structuring, development, made
Mr. President|| june, community, congratulate
Mr. Speaker|| remarks, unanimous, extend
<|endoftext|>|| back, amendments, hours
Madam Chairwoman|| community, makes, america
Madam Speaker|| american, care, decision
Mr. President|| army, record, unanimous
Mr. President|| loved, larry, sports
Mr. President|| president, vote, answer
Mr. Speaker|| commission, speaker, industry
Mr. Chairman|| correct, student, lunch
Mr. President|| vote, oklahoma, distinguished
Mr. President|| house, filed, public
Mr. President|| speaks, speech, compliment
Mr. Speaker|| speaker, house, rise
Mr. Chairman|| start, debts, recognize
Mr. Speaker|| small, kweisi, join
<|endoftext|>|| tremendous, cars, roads
Mr. Speaker|| provision, federal, political
<|endoftext|>|| band, act, landowner
Mr. President|| white, house, small
Madam Speaker|| product, danny, conference
Mr. Chairman|| reserve, country, chairman
Mr. Speaker|| davis, plan, yielding
<|endoftext|>|| doe, waste, failure
<|endoftext|>|| suggested, sponsor, question
Mr. President|| care, congress, years
Mr. President|| unanimous, november, pledge
Mr. President|| care, bill, bringing
Mr. Speaker|| bring, honor, speaker
Madam Speaker|| res, masquerade, consideration
Mr. Chairman|| offer, interested, votes
Mr. President|| judiciary, rboc, klein
Mr. Speaker|| jersey, national, ferguson
<|endoftext|>|| questioned, house, colleague
Mr. President|| immediately, unanimous, senate
<|endoftext|>|| friend, party, coal
Mr. President|| health, anesthetists, veterans
Mr. Speaker|| expenses, veto, vote
<|endoftext|>|| practice, find, poor
Mr. Speaker|| distinguished, report, conference
Mr. Speaker|| support, referred, provide
Mr. Speaker|| assignment, multiple, speaker
Mr. Speaker|| franks, peterson, weldon
<|endoftext|>|| aspects, law, laws
Mr. Chair|| move, work, gentleman
Mr. Speaker|| mind, great, arkansas
Mr. Speaker|| joe, baltimore, elway
<|endoftext|>|| westerman, northern, bill
Mr. Speaker|| today, legislation, medicare
Mr. Speaker Upon adoption of this motion to recommit|| country, ensure, entirety
<|endoftext|>|| capital, resistance, compete
Mr. Chairman|| regime, repealing, respect
<|endoftext|>|| consultation, members, basis
Mr. Speaker|| ethics, signing, speaker
Mr. President|| american, sectarian, amendment
Mr. Speaker|| representative, district, seventh
Mr. President|| care, america, senator
<|endoftext|>|| cost, highlight, hold
Mr. Chairman|| virgin, coordination, unit
<|endoftext|>|| rose, behalf, finance
<|endoftext|>|| friends, terrible, thousands
Mr. Speaker|| smith, nebraska, motion
Mr. Chairman|| modernization, universities, affairs
Madam President|| american, workers, businesses
<|endoftext|>|| july, organizations, yielding
Mr. Chairman|| procurement, guard, reserve
Mr. President|| produced, committee, chairman
Mr. President|| aircraft, acn, people
<|endoftext|>|| brought, part, bill
Madam President|| people, hard, intern
Mr. Speaker|| international, speaker, indiana
Mr. President|| invitation, malpractice, senators
<|endoftext|>|| russia, iowa, haiti
Mr. Chairman|| federal, crime, america
Mr. Speaker|| parents, states, education
<|endoftext|>|| present, nay, necessarily
Mr. President|| senators, senator, honor
Madam Speaker|| hole, acts, rampant
Mr. Speaker|| back, question, resolution
Mr. President|| house, competence, confirmation
Mr. Chairman|| word, colleagues, chairman
Mr. Speaker|| fix, yield, make
<|endoftext|>|| yield, back, committee
<|endoftext|>|| mentioned, delivered, doctor
Mr. President|| meet, developments, unanimous
<|endoftext|>|| future, make, work
Mr. Speaker|| oil, control, time
Mr. Speaker|| experiments, black, hole
Mr. Speaker|| justice, emmett, forming
Mr. Chairman|| states, land, nation
Mr. Speaker|| joint, trade, taxation
Mr. President|| memorial, november, american
Mr. Speaker|| point, yield, made
<|endoftext|>|| dakota, accepting, suggestion
Mr. President|| service, general, senate
Madam Speaker|| held, issue, hill
<|endoftext|>|| program, jobs, speaking
Mr. Chairman|| yielding, endowment, yates
<|endoftext|>|| project, mapping, genome
Madam Speaker|| week, appropriations, drastically
Madam Speaker|| california, offered, suspend
Mr. Speaker|| global, create, bit
Mr. Speaker|| ohio, children, americans
Mr. Chairman|| willie, loved, cities
Mr. Speaker|| expanded, memory, house
Mr. Speaker|| counties, oregon, fires
Mr. Speaker|| people, yield, member
<|endoftext|>|| votes, iran, remind
Mr. President|| services, bill, health
Mr. Chairman|| small, administration, advocacy
Mr. Speaker|| tomorrow, availability, reactors
Mr. Chairman|| give, amended, veto
Madam President|| act, health, house
Mr. President. I oppose the nomination of Andrew Hurwitz to the Ninth Circuit Court of Appeals because I have serious concerns with his capability to serve in the role of a life-tenured Federal appellate judge. His public statements regarding|| newman, justice, judge
Mr. Speaker|| gingrich, work, labor
Mr. Speaker|| projects, consideration, purposes
Madam President|| president, bill, mother
Mr. Speaker|| speaker, members, begin
<|endoftext|>|| judiciary, republican, lamar
Mr. Speaker|| seasoned, ctrs, important
<|endoftext|>|| speaker, privileged, representatives
<|endoftext|>|| committee, court, amendment
Mr. President|| financial, america, small
Mr. Speaker|| fact, negotiation, house
Mr. Chairman|| complied, established, present
Mr. Speaker|| reserve, constituents, satisfied
Mr. Chairman|| tax, cut, social
Mr. President|| directors, authorized, unanimous
Madam President|| res, netanyahu, remarks
Mr. Speaker|| miller, nays, lewis
<|endoftext|>|| discussion, security, plans
Mr. Speaker|| surface, benefits, suddenly
Mr. Speaker|| yield, yielding, control
Mr. Speaker|| yeas, adoption, chair
Mr. Chairman|| committee, distinguished, subcommittee
Mr. Speaker|| aisle, passed, side
<|endoftext|>|| million, history, millions
Mr. Chairman|| committee, appropriation, proper
<|endoftext|>|| things, spending, simply
Mr. Chairman|| chairman, colleagues, assessment
Madam President|| deeply, president, iran
Mr. Speaker|| chairman, wolf, bill
<|endoftext|>|| half, point, work
Mr. Chairman|| kerry, saddam, yield
Mr. President|| trade, america, brazil
Mr. Chairman|| york, children, corporations
Mr. President|| lives, military, defense
Mr. Speaker|| project, syria, shot
Mr. President|| tomorrow, sales, homes
<|endoftext|>|| amused, constitution, bit
Mr. Chairman|| chairman, staffs, colleague
Mr. Speaker|| services, america, imls
Mr. President|| president, section, answer
Mr. President|| folks, georgia, echo
Mr. President|| unable, supported, today
Mr. Speaker|| pps, payments, payment
<|endoftext|>|| fundamental, partial, talbott
Mr. President|| fund, congress, move
<|endoftext|>|| constitutional, things, republicans
Mr. President|| rise, officers, fired
Madam President|| chairman, day, briefly
Mr. President|| review, fda, senator
Madam Speaker|| speaker, federal, amendment
<|endoftext|>|| pay, higher, tears
<|endoftext|>|| presume, gun, managers
Mr. Speaker|| material, objection, south
Mr. President|| texas, kind, problem
Mr. Speaker|| participate, congressional, america
Mr. Speaker|| cramer, speaker, gave
Mr. Speaker|| billions, lamenting, representatives
Mr. President|| year, insurance, president
<|endoftext|>|| enact, quality, provide
Mr. Speaker|| insurance, speaker, work
Madam Speaker|| care, congress, advantage
Mr. Chairman|| budget, nations, states
Mr. President|| consume, federal, democratic
Mr. President|| states, businesses, collect
Mr. Speaker|| guard, energy, amendments
Mr. Speaker|| government, speaker, loans
Mr. President|| crimes, intelligence, american
Mr. Chairman|| year, porter, dod
Mr. Speaker|| honor, years, pay
Mr. Speaker|| city, functioning, act
Madam Speaker|| recognize, rankings, vice
Mr. Chairman|| result, bipartisan, urge
Mr. President|| rise, political, state
Mr. Chairman|| exist, inhibit, process
Mr. Speaker|| motion, move, debate
<|endoftext|>|| years, people, gentleman
<|endoftext|>|| date, criteria, page
Madam Speaker|| pass, import, chairman
Mr. President|| side, aisle, clear
Mr. Chairman|| colleagues, gentleman, fema
Mr. Speaker|| statement, affirmative, rollcall
Mr. Speaker|| speaker, states, tamarisk
Mr. Chairman|| performed, language, member
Mr. Chair|| services, behavioral, mental
Mr. Chairman|| agencies, suspected, congress
Mr. Chairman|| gentleman, consolidate, food
Madam President|| attempt, necessarily, united
<|endoftext|>|| resume, increasing, session
<|endoftext|>|| pay, budget, liheap
Mr. President|| meet, administration, unanimous
Madam President|| amendment, senator, shell
<|endoftext|>|| tools, al-qaida, military
<|endoftext|>|| accounting, dod, cost
Mr. President|| federal, senator, cortez
Mr. Chairman|| grateful, program, reported
Mr. President|| nevada, time, made
Mr. President|| arizona, state, justice
Mr. Speaker|| minneapolis, congratulate, automotive
Mr. Chairman|| december, claim, roughly
Mr. Speaker|| skelton, hunter, president
<|endoftext|>|| danger, stop, terms
Mr. Speaker|| november, norton, columbia
Mr. Speaker|| adjourns, debate, louisiana
Mr. Chairman|| vote, recorded, demand
<|endoftext|>|| remarks, welfare, made
Mr. Chairman|| president, clinton, secondary
Mr. Speaker|| storm, speaker, rain
<|endoftext|>|| people, personal, time
<|endoftext|>|| allocations, year, contingency
Madam Speaker|| speaker, healthy, eating
Mr. President|| session, committee, 9:30
<|endoftext|>|| question, follow, floor
Mr. Chairman|| federal, decades, country
Mr. Chairman|| make, chairman, ohio
<|endoftext|>|| investments, act, wang
Mr. President|| years, pursuant, fiscal
Mr. Speaker|| insert, legislation, materials
Mr. Chairman|| year, president, congress
Madam President|| colleagues, rollcall, vote
Madam Speaker|| troubling, fiske, justice
Mr. Speaker|| states, resources, act
<|endoftext|>|| court, called, east
Mr. President|| time, investment, period
Mr. President|| code, future, families
Mr. President|| votes, budget, status
<|endoftext|>|| rhode, investigators, island
<|endoftext|>|| senator, floor, good
Mr. Chair|| colleagues, miles, time
Mr. President|| billion, program, veterans
Mr. President|| liberty, member, kentucky
Mr. Speaker|| impact, speaker, earlier
Mr. Chairman|| unit, pro, introduced
Mr. President|| colleague, open, wide
<|endoftext|>|| cooperation, lantos, east
Mr. President|| economy, growth, rates
Mr. President|| billion, states, addiction
Mr. Speaker|| states, sexual, act
Mr. Chairman|| consume, state, authorizes
Mr. President|| members, colleagues, possibly
Mr. Speaker|| yeas, prior, nays
Mr. Speaker|| vote, border, department
Madam President|| usda, vote, programs
Mr. Chairman|| rise, amendment, request
Mr. Speaker|| soccer, lived, achievement
Mr. President|| taxpayer, rise, officials
Mr. President|| president, koreans, dodd
<|endoftext|>|| mrs., acting, senator
Mr. President|| bennet, senator, tempore
<|endoftext|>|| local, government, peer
Mr. Chairman|| years, feel, amendments
<|endoftext|>|| house, thursday, constitution
Mr. Speaker|| nays, proceedings, announcement
Mr. President|| preamble, disagreement, nation
Mr. Speaker|| defense, weeks, speaker
Mr. Speaker|| bank, support, percent
Madam Speaker|| amendment, members, paid
Madam Speaker|| virginia, community, medical
<|endoftext|>|| material, chance, dual
<|endoftext|>|| years, day, blithely
Madam President|| nomination, torres, court
<|endoftext|>|| advent, regard, publication
Madam Speaker|| flynn, fbi, march
Mr. Speaker|| state, work, side
<|endoftext|>|| company, small, absolutely
<|endoftext|>|| connecticut, work, important
Mr. Speaker|| gram, lipitor, price
<|endoftext|>|| order, uniform, nation
Mr. Speaker|| america, years, energy
Mr. Speaker|| february, time, consume
Mr. President|| steve, defense, commercial
<|endoftext|>|| amendment, passed, offer
Madam President|| opening, debate, senate
Mr. President|| debt, enormous, dollars
Mr. Speaker|| legislation, time, american
Mr. Speaker|| georgia, speaker, american
<|endoftext|>|| sunshine, bills, full
Mr. Chairman|| today, hard-earned, family
Mr. President|| tuesday, iran, september
Mr. Chairman|| faster, government, relief
Mr. President|| budget, good, day
<|endoftext|>|| growing, country, basically
Mr. Speaker|| representatives, speaker, offended
Mr. Speaker|| senate, importance, prayer
Madam Speaker|| insurance, act, premiums
Mr. Speaker|| o'clock, speaker, adjourn
<|endoftext|>|| question, position, prepared
Mr. President|| alaska, lieutenant, team
<|endoftext|>|| istea, quorum, mccain-feingold
Mr. Speaker|| rangel, gentleman, order
Madam Speaker|| requirement, time, bad
Mr. Speaker|| important, friends, world
Mr. Speaker|| pro, ayes, tempore
Mr. President|| senate, stricken, amt
Mr. Speaker|| remarks, minnesota, golden
Mr. Speaker|| amended, petri, previous
Mr. Chairman|| people, corps, chairman
Mr. Speaker|| work, basic, bill
Madam President|| day, today, friday
Mr. Chairman|| amendment, disability, trust
Mr. President|| president, distinguished, request
Madam President|| colleague, guess, concern
Mr. Speaker|| mischaracterization, time, remainder
Mr. President|| time, appropriations, budget
Mr. President|| bay, area, specialized
Madam Speaker|| members, include, madam
<|endoftext|>|| owner, gentleman, building
<|endoftext|>|| committee, series, understand
Mr. Speaker|| require, tax, amendment
<|endoftext|>|| shows, president, vote
Mr. Speaker|| rail, time, frustration
Mr. Chairman|| price, important, chairman
<|endoftext|>|| board, rate, stay
Mr. President|| attorney, general, department
Mr. President|| guard, iraq, nation
Mr. President|| meet, russell, wednesday
Mr. President|| resources, domenici, committee
Mr. President|| carlson, arne, north
<|endoftext|>|| back, pleasure, great
Mr. Speaker|| services, remarks, leadership
Mr. President|| president, agencies, sensors
Madam Speaker|| gentleman, vietnam, son
Mr. President|| wealthy, tax, agreement
Mr. President|| rose, white, questions
<|endoftext|>|| trade, uruguay, votes
<|endoftext|>|| federal, sensitivities, area
Mr. Speaker|| consideration, lesko, yielded
Mr. President|| million, secretary, senate
<|endoftext|>|| insurance, senator, ages
Mr. President|| america, proportions, crime-related
Madam Speaker|| politics, shores, offense
<|endoftext|>|| school, pelosi, environmental
Mr. President|| veterans, problem, government
<|endoftext|>|| barrel, nations, tragedy
<|endoftext|>|| corrections, today, capitol
<|endoftext|>|| association, safety, aircraft
<|endoftext|>|| house, thursday, labor
Mr. President|| copies, edition, printed
Mr. President|| minority, unanimous, upcoming
Mr. President|| mark, conference, college
Mr. Speaker|| consume, makes, horse
Mr. Speaker|| monday, noon, wednesday
<|endoftext|>|| senator, make, brooklyn
Mr. Speaker|| democracy, subcommittee, proclaimed
Mr. President|| campaign, authority, president
<|endoftext|>|| conference, gentleman, list
<|endoftext|>|| votes, yeas, house
Mr. Speaker|| florida, good, prescription
<|endoftext|>|| secretary, pleased, strong
<|endoftext|>|| billion, corporate, called
Mr. Chairman|| force, testimony, today
Mr. Speaker|| gingrich, senate, morning
Mr. Speaker|| sit, permitted, objection
<|endoftext|>|| brownback, car, agriculture
Mr. Speaker|| royce, brilliant, statement
Madam Speaker|| agree, administration, part
Mr. President|| responsibility, government, begin
Mr. Speaker|| consume, fires, yield
Mr. Speaker|| literally, arrington, history
Mr. President|| report, authorization, defense
Mr. Chairman|| minimal, gentleman, judiciary
Mr. Speaker|| suspend, yield, time
<|endoftext|>|| part, senator, authority
Mr. President|| senate, question, colleague
Mr. Speaker|| listen, child, hunger
Mr. Speaker|| rise, productivity, today
Mr. Speaker|| speaker, inspired, greensboro
Mr. Chair|| matching, people, district
Mr. President|| american, institution, committee
Mr. President|| disposition, bill, consent
Mr. President|| war, vote, lost
<|endoftext|>|| haiti, yield, hemisphere
Mr. President|| isakson, anniversary, colleges
Mr. Chairman|| personally, agenda, order
<|endoftext|>|| working, demands, goal
